hiperparam_ind_conv,problema,n_objetivos,indicador,0.001,0.1,0.2,0.3,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,0.999
IGD+,DTLZ1,2,r2,0.7539062,0.1162109,0.5,0.4609375,,0.1376953,0.1875,0.09667969,0.03222656,0.5390625,0.5771484
IGD+,DTLZ1,2,r2,0.8388672,0.4228516,0.6523438,0.8837891,0.8837891,,0.5390625,0.3476562,0.1611328,0.7539062,0.6875
IGD+,DTLZ1,2,r2,0.9755859,0.6152344,0.8623047,0.9345703,0.8388672,0.5,,0.3847656,0.2783203,0.9033203,0.9580078
IGD+,DTLZ1,2,r2,0.9755859,0.6523438,0.8837891,0.9199219,0.9199219,0.6875,0.6523438,,0.7539062,0.9033203,0.9902344
IGD+,DTLZ1,2,r2,0.9677734,0.6152344,0.9580078,0.9345703,0.9755859,0.8623047,0.7539062,0.2783203,,0.9472656,0.9814453
IGD+,DTLZ1,2,r2,0.7841797,0.08007812,0.3125,0.7216797,0.5,0.2783203,0.1162109,0.1162109,0.06542969,,0.5
IGD+,DTLZ1,2,r2,0.8125,0.1376953,0.6152344,0.6523438,0.4609375,0.3476562,0.05273438,0.01367188,0.02441406,0.5390625,
R2,DTLZ1,2,r2,,0.1376953,0.09667969,0.01367188,0.3476562,0.1875,0.3125,0.2158203,0.1376953,0.4609375,0.1611328
R2,DTLZ1,2,r2,0.8837891,,0.2460938,0.1376953,0.8125,0.8623047,0.3847656,0.4228516,0.6152344,0.9580078,0.6152344
R2,DTLZ1,2,r2,0.9199219,0.7841797,,0.3476562,0.9472656,0.8623047,0.7216797,0.9580078,0.7841797,0.9931641,0.8125
R2,DTLZ1,2,r2,0.9902344,0.8837891,0.6875,,0.9970703,0.9951172,0.7841797,0.9863281,0.9677734,0.9951172,0.9580078
R2,DTLZ1,2,r2,0.6875,0.2158203,0.06542969,0.004882812,,0.5771484,0.5771484,0.1875,0.2460938,0.6523438,0.5390625
R2,DTLZ1,2,r2,0.8388672,0.1611328,0.1611328,0.006835938,0.4609375,,0.2783203,0.3125,0.2783203,0.7539062,0.3476562
R2,DTLZ1,2,r2,0.7216797,0.6523438,0.3125,0.2460938,0.4609375,0.7539062,,0.5,0.4609375,0.6523438,0.3847656
R2,DTLZ1,2,r2,0.8125,0.6152344,0.05273438,0.01855469,0.8388672,0.7216797,0.5390625,,0.6152344,0.8388672,0.4228516
R2,DTLZ1,2,r2,0.8837891,0.4228516,0.2460938,0.04199219,0.7841797,0.7539062,0.5771484,0.4228516,,0.9951172,0.4228516
R2,DTLZ1,2,r2,0.5771484,0.05273438,0.009765625,0.006835938,0.3847656,0.2783203,0.3847656,0.1875,0.006835938,,0.1376953
R2,DTLZ1,2,r2,0.8623047,0.4228516,0.2158203,0.05273438,0.5,0.6875,0.6523438,0.6152344,0.6152344,0.8837891,
IGD+,DTLZ1,2,s-energy,,0.9951172,0.9814453,0.7841797,0.5771484,0.9863281,0.9863281,0.9814453,0.7216797,0.9755859,0.8388672
IGD+,DTLZ1,2,s-energy,0.006835938,,0.5390625,0.09667969,0.03222656,0.6875,0.1162109,0.3847656,0.1875,0.5771484,0.03222656
IGD+,DTLZ1,2,s-energy,0.02441406,0.5,,0.1376953,0.04199219,0.5390625,0.1376953,0.5,0.1611328,0.4609375,0.04199219
IGD+,DTLZ1,2,s-energy,0.2460938,0.9199219,0.8837891,,0.3125,0.9033203,0.6523438,0.8125,0.5,0.9472656,0.5771484
IGD+,DTLZ1,2,s-energy,0.4609375,0.9755859,0.9677734,0.7216797,,0.9755859,0.8837891,0.9199219,0.6875,0.8623047,0.7841797
IGD+,DTLZ1,2,s-energy,0.01855469,0.3476562,0.5,0.1162109,0.03222656,,0.1162109,0.4228516,0.09667969,0.5,0.06542969
IGD+,DTLZ1,2,s-energy,0.01855469,0.9033203,0.8837891,0.3847656,0.1376953,0.9033203,,0.6875,0.5,0.8125,0.4228516
IGD+,DTLZ1,2,s-energy,0.02441406,0.6523438,0.5390625,0.2158203,0.09667969,0.6152344,0.3476562,,0.1875,0.6523438,0.1162109
IGD+,DTLZ1,2,s-energy,0.3125,0.8388672,0.8623047,0.5390625,0.3476562,0.9199219,0.5390625,0.8388672,,0.6523438,0.4228516
IGD+,DTLZ1,2,s-energy,0.03222656,0.4609375,0.5771484,0.06542969,0.1611328,0.5390625,0.2158203,0.3847656,0.3847656,,0.1875
IGD+,DTLZ1,2,s-energy,0.1875,0.9755859,0.9677734,0.4609375,0.2460938,0.9472656,0.6152344,0.9033203,0.6152344,0.8388672,
R2,DTLZ1,2,s-energy,,0.8388672,0.8837891,0.9755859,0.7841797,0.8388672,0.8125,0.9033203,0.9345703,0.6523438,0.9033203
R2,DTLZ1,2,s-energy,0.1875,,0.5,0.8623047,0.2158203,0.3476562,0.3476562,0.6523438,0.7216797,0.1875,0.5
R2,DTLZ1,2,s-energy,0.1376953,0.5390625,,0.9472656,0.5390625,0.3847656,0.6152344,0.9033203,0.8388672,0.2460938,0.5771484
R2,DTLZ1,2,s-energy,0.03222656,0.1611328,0.06542969,,0.1611328,0.03222656,0.01855469,0.4609375,0.2783203,0.01367188,0.05273438
R2,DTLZ1,2,s-energy,0.2460938,0.8125,0.5,0.8623047,,0.4228516,0.5390625,0.6875,0.6875,0.5390625,0.5771484
R2,DTLZ1,2,s-energy,0.1875,0.6875,0.6523438,0.9755859,0.6152344,,0.7216797,0.8837891,0.9033203,0.4228516,0.7841797
R2,DTLZ1,2,s-energy,0.2158203,0.6875,0.4609375,0.9863281,0.5,0.3125,,0.9472656,0.8837891,0.5390625,0.7539062
R2,DTLZ1,2,s-energy,0.1162109,0.3847656,0.1162109,0.5771484,0.3476562,0.1376953,0.06542969,,0.6152344,0.01367188,0.1611328
R2,DTLZ1,2,s-energy,0.08007812,0.3125,0.1875,0.7539062,0.3476562,0.1162109,0.1376953,0.4228516,,0.08007812,0.1376953
R2,DTLZ1,2,s-energy,0.3847656,0.8388672,0.7841797,0.9902344,0.5,0.6152344,0.5,0.9902344,0.9345703,,0.7841797
R2,DTLZ1,2,s-energy,0.1162109,0.5390625,0.4609375,0.9580078,0.4609375,0.2460938,0.2783203,0.8623047,0.8837891,0.2460938,
IGD+,DTLZ1,2,spd,,0.08007812,0.2460938,0.5390625,0.2158203,0.1875,0.04199219,0.02441406,0.02441406,0.01367188,0.1376953
IGD+,DTLZ1,2,spd,0.9345703,,0.8837891,0.9345703,0.8388672,0.09667969,0.6152344,0.4228516,0.3847656,0.7841797,0.7216797
IGD+,DTLZ1,2,spd,0.7841797,0.1376953,,0.7539062,0.5390625,0.1376953,0.04199219,0.02441406,0.03222656,0.1875,0.2783203
IGD+,DTLZ1,2,spd,0.5,0.08007812,0.2783203,,0.2783203,0.09667969,0.02441406,0.01855469,0.04199219,0.01367188,0.1376953
IGD+,DTLZ1,2,spd,0.8125,0.1875,0.5,0.7539062,,0.09667969,0.1376953,0.08007812,0.2460938,0.2460938,0.3476562
IGD+,DTLZ1,2,spd,0.8388672,0.9199219,0.8837891,0.9199219,0.9199219,,0.8623047,0.6875,0.6152344,0.6875,0.8125
IGD+,DTLZ1,2,spd,0.9677734,0.4228516,0.9677734,0.9814453,0.8837891,0.1611328,,0.3476562,0.5,0.7539062,0.7216797
