hiperparam_ind_conv,problema,n_objetivos,indicador,0.001,0.1,0.2,0.3,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,0.999
IGD+,WFG3,3,igd,0.5,0.6152344,0.8388672,0.3476562,0.7216797,0.5,,0.9199219,0.8125,0.8623047,0.7539062
IGD+,WFG3,3,igd,0.05273438,0.2460938,0.4609375,0.05273438,0.5,0.2783203,0.09667969,,0.5,0.7216797,0.08007812
IGD+,WFG3,3,igd,0.09667969,0.1875,0.5771484,0.05273438,0.3125,0.3125,0.2158203,0.5390625,,0.7216797,0.2783203
IGD+,WFG3,3,igd,0.01367188,0.03222656,0.1875,0.01367188,0.3847656,0.1875,0.1611328,0.3125,0.3125,,0.1376953
IGD+,WFG3,3,igd,0.4609375,0.5,0.6875,0.09667969,0.5,0.5,0.2783203,0.9345703,0.7539062,0.8837891,
R2,WFG3,3,igd,,0.7841797,0.1162109,0.2783203,0.1875,0.3476562,0.1611328,0.1875,0.3125,0.7539062,0.1875
R2,WFG3,3,igd,0.2460938,,0.09667969,0.1875,0.06542969,0.3125,0.01855469,0.1376953,0.2783203,0.5,0.2158203
R2,WFG3,3,igd,0.9033203,0.9199219,,0.8388672,0.5771484,0.8837891,0.5,0.5390625,0.7841797,0.9472656,0.5390625
R2,WFG3,3,igd,0.7539062,0.8388672,0.1875,,0.2573349,0.5,0.4228516,0.2783203,0.5,0.8388672,0.5
R2,WFG3,3,igd,0.8388672,0.9472656,0.4609375,0.7426651,,0.7539062,0.6152344,0.4609375,0.8837891,0.9755859,0.7216797
R2,WFG3,3,igd,0.6875,0.7216797,0.1376953,0.5390625,0.2783203,,0.3125,0.2783203,0.6152344,0.8623047,0.3847656
R2,WFG3,3,igd,0.8623047,0.9863281,0.5390625,0.6152344,0.4228516,0.7216797,,0.3847656,0.7841797,0.9472656,0.6152344
R2,WFG3,3,igd,0.8388672,0.8837891,0.5,0.7539062,0.5771484,0.7539062,0.6523438,,0.7539062,0.9199219,0.7841797
R2,WFG3,3,igd,0.7216797,0.7539062,0.2460938,0.5390625,0.1376953,0.4228516,0.2460938,0.2783203,,0.7539062,0.6152344
R2,WFG3,3,igd,0.2783203,0.5390625,0.06542969,0.1875,0.03222656,0.1611328,0.06542969,0.09667969,0.2783203,,0.2158203
R2,WFG3,3,igd,0.8388672,0.8125,0.5,0.5390625,0.3125,0.6523438,0.4228516,0.2460938,0.4228516,0.8125,
IGD+,WFG3,3,igd+,,0.9345703,0.9863281,0.6875,0.8837891,0.8388672,0.9345703,0.9902344,0.9970703,1.0,0.9970703
IGD+,WFG3,3,igd+,0.08007812,,0.8388672,0.3847656,0.5,0.4609375,0.7539062,0.8837891,0.9199219,0.9931641,0.8623047
IGD+,WFG3,3,igd+,0.01855469,0.1875,,0.1875,0.4228516,0.1611328,0.4609375,0.6875,0.6523438,0.9902344,0.8837891
IGD+,WFG3,3,igd+,0.3476562,0.6523438,0.8388672,,0.7216797,0.4609375,0.7539062,0.9033203,0.9472656,0.9951172,0.8623047
IGD+,WFG3,3,igd+,0.1376953,0.5390625,0.6152344,0.3125,,0.3476562,0.5390625,0.7216797,0.6523438,0.9033203,0.6875
IGD+,WFG3,3,igd+,0.1875,0.5771484,0.8623047,0.5771484,0.6875,,0.8388672,0.8623047,0.8837891,0.9902344,0.9345703
IGD+,WFG3,3,igd+,0.08007812,0.2783203,0.5771484,0.2783203,0.5,0.1875,,0.9033203,0.7539062,0.9755859,0.8623047
IGD+,WFG3,3,igd+,0.01367188,0.1376953,0.3476562,0.1162109,0.3125,0.1611328,0.1162109,,0.3476562,0.8388672,0.6523438
IGD+,WFG3,3,igd+,0.004882812,0.09667969,0.3847656,0.06542969,0.3847656,0.1376953,0.2783203,0.6875,,0.9902344,0.6875
IGD+,WFG3,3,igd+,0.0009765625,0.009765625,0.01367188,0.006835938,0.1162109,0.01367188,0.03222656,0.1875,0.01367188,,0.09667969
IGD+,WFG3,3,igd+,0.004882812,0.1611328,0.1376953,0.1611328,0.3476562,0.08007812,0.1611328,0.3847656,0.3476562,0.9199219,
R2,WFG3,3,igd+,,0.6523438,0.1162109,0.7216797,0.5,0.4228516,0.2460938,0.4609375,0.6523438,0.8125,0.3847656
R2,WFG3,3,igd+,0.3847656,,0.06542969,0.4609375,0.4609375,0.6523438,0.06542969,0.5771484,0.7841797,0.8623047,0.5390625
R2,WFG3,3,igd+,0.9033203,0.9472656,,0.9033203,0.8125,0.8837891,0.8623047,0.9199219,0.9580078,0.9951172,0.8623047
R2,WFG3,3,igd+,0.3125,0.5771484,0.1162109,,0.2573349,0.2783203,0.09667969,0.3125,0.4609375,0.5771484,0.2783203
R2,WFG3,3,igd+,0.5390625,0.5771484,0.2158203,0.7426651,,0.2158203,0.3125,0.6152344,0.6523438,0.7539062,0.5390625
R2,WFG3,3,igd+,0.6152344,0.3847656,0.1376953,0.7539062,0.8125,,0.2460938,0.6875,0.4228516,0.7841797,0.3847656
R2,WFG3,3,igd+,0.7841797,0.9472656,0.1611328,0.9199219,0.7216797,0.7841797,,0.8388672,0.9033203,0.9677734,0.7539062
R2,WFG3,3,igd+,0.5771484,0.4609375,0.09667969,0.7216797,0.4228516,0.3476562,0.1875,,0.6523438,0.7841797,0.4609375
R2,WFG3,3,igd+,0.3847656,0.2460938,0.05273438,0.5771484,0.3847656,0.6152344,0.1162109,0.3847656,,0.8388672,0.3847656
R2,WFG3,3,igd+,0.2158203,0.1611328,0.006835938,0.4609375,0.2783203,0.2460938,0.04199219,0.2460938,0.1875,,0.05273438
R2,WFG3,3,igd+,0.6523438,0.5,0.1611328,0.7539062,0.5,0.6523438,0.2783203,0.5771484,0.6523438,0.9580078,
IGD+,WFG3,3,r2,,0.5771484,0.5771484,0.9033203,0.8388672,0.9472656,0.6152344,0.5771484,0.5771484,0.8623047,0.3847656
IGD+,WFG3,3,r2,0.4609375,,0.4609375,0.8388672,0.8125,0.9345703,0.3847656,0.7216797,0.6523438,0.8623047,0.3847656
IGD+,WFG3,3,r2,0.4609375,0.5771484,,0.9199219,0.7539062,0.9970703,0.3125,0.8125,0.6152344,0.9345703,0.3125
IGD+,WFG3,3,r2,0.1162109,0.1875,0.09667969,,0.4609375,0.5,0.01855469,0.1376953,0.1611328,0.3125,0.03222656
IGD+,WFG3,3,r2,0.1875,0.2158203,0.2783203,0.5771484,,0.9677734,0.1611328,0.3476562,0.4609375,0.6875,0.08007812
IGD+,WFG3,3,r2,0.06542969,0.08007812,0.004882812,0.5390625,0.04199219,,0.01855469,0.01367188,0.1376953,0.09667969,0.01855469
IGD+,WFG3,3,r2,0.4228516,0.6523438,0.7216797,0.9863281,0.8623047,0.9863281,,0.7216797,0.8125,0.8388672,0.3125
IGD+,WFG3,3,r2,0.4609375,0.3125,0.2158203,0.8837891,0.6875,0.9902344,0.3125,,0.4609375,0.8388672,0.3847656
IGD+,WFG3,3,r2,0.4609375,0.3847656,0.4228516,0.8623047,0.5771484,0.8837891,0.2158203,0.5771484,,0.6875,0.1611328
IGD+,WFG3,3,r2,0.1611328,0.1611328,0.08007812,0.7216797,0.3476562,0.9199219,0.1875,0.1875,0.3476562,,0.09667969
IGD+,WFG3,3,r2,0.6523438,0.6523438,0.7216797,0.9755859,0.9345703,0.9863281,0.7216797,0.6523438,0.8623047,0.9199219,
R2,WFG3,3,r2,,0.1162109,0.6152344,0.9345703,0.8837891,0.8623047,0.5,0.6875,0.4228516,0.4228516,0.6152344
R2,WFG3,3,r2,0.9033203,,0.8837891,0.9345703,0.9472656,0.9677734,0.9863281,0.9677734,0.8837891,0.7216797,0.8837891
R2,WFG3,3,r2,0.4228516,0.1376953,,0.7216797,0.8388672,0.7216797,0.6152344,0.6523438,0.2783203,0.3125,0.5
R2,WFG3,3,r2,0.08007812,0.08007812,0.3125,,0.5236175,0.4228516,0.2158203,0.2783203,0.1611328,0.1162109,0.3125
R2,WFG3,3,r2,0.1376953,0.06542969,0.1875,0.4763825,,0.4228516,0.3125,0.2460938,0.1611328,0.08007812,0.3125
R2,WFG3,3,r2,0.1611328,0.04199219,0.3125,0.6152344,0.6152344,,0.1875,0.3476562,0.1875,0.1875,0.4609375
R2,WFG3,3,r2,0.5390625,0.01855469,0.4228516,0.8125,0.7216797,0.8388672,,0.4228516,0.09667969,0.2460938,0.4228516
R2,WFG3,3,r2,0.3476562,0.04199219,0.3847656,0.7539062,0.7841797,0.6875,0.6152344,,0.3847656,0.2460938,0.4609375
R2,WFG3,3,r2,0.6152344,0.1376953,0.7539062,0.8623047,0.8623047,0.8388672,0.9199219,0.6523438,,0.5390625,0.6875
R2,WFG3,3,r2,0.6152344,0.3125,0.7216797,0.9033203,0.9345703,0.8388672,0.7841797,0.7841797,0.5,,0.7841797
R2,WFG3,3,r2,0.4228516,0.1376953,0.5390625,0.7216797,0.7216797,0.5771484,0.6152344,0.5771484,0.3476562,0.2460938,
IGD+,WFG3,3,s-energy,,0.6152344,0.5390625,0.8388672,0.8837891,0.9580078,0.5390625,0.7841797,0.8837891,0.9863281,0.7216797
IGD+,WFG3,3,s-energy,0.4228516,,0.3847656,0.8623047,0.8125,0.9345703,0.5771484,0.7841797,0.7841797,1.0,0.5390625
IGD+,WFG3,3,s-energy,0.5,0.6523438,,0.8125,0.5771484,0.9863281,0.3847656,0.9199219,0.8125,0.9931641,0.6152344
IGD+,WFG3,3,s-energy,0.1875,0.1611328,0.2158203,,0.4609375,0.6152344,0.05273438,0.3125,0.4609375,0.7216797,0.1162109
IGD+,WFG3,3,s-energy,0.1376953,0.2158203,0.4609375,0.5771484,,0.8623047,0.2783203,0.6152344,0.5,0.9199219,0.3476562
IGD+,WFG3,3,s-energy,0.05273438,0.08007812,0.01855469,0.4228516,0.1611328,,0.06542969,0.1875,0.2460938,0.6875,0.1611328
IGD+,WFG3,3,s-energy,0.5,0.4609375,0.6523438,0.9580078,0.7539062,0.9472656,,0.9345703,0.9199219,0.9814453,0.7841797
IGD+,WFG3,3,s-energy,0.2460938,0.2460938,0.09667969,0.7216797,0.4228516,0.8388672,0.08007812,,0.7539062,0.9345703,0.3847656
IGD+,WFG3,3,s-energy,0.1376953,0.2460938,0.2158203,0.5771484,0.5390625,0.7841797,0.09667969,0.2783203,,0.8623047,0.2783203
IGD+,WFG3,3,s-energy,0.01855469,0.0009765625,0.009765625,0.3125,0.09667969,0.3476562,0.02441406,0.08007812,0.1611328,,0.09667969
IGD+,WFG3,3,s-energy,0.3125,0.5,0.4228516,0.9033203,0.6875,0.8623047,0.2460938,0.6523438,0.7539062,0.9199219,
R2,WFG3,3,s-energy,,0.6875,0.4228516,0.7216797,0.9199219,0.9990234,0.6152344,0.9033203,0.8837891,0.6523438,0.4609375
R2,WFG3,3,s-energy,0.3476562,,0.3125,0.3476562,0.6152344,0.8125,0.7841797,0.9199219,0.7539062,0.3847656,0.5
R2,WFG3,3,s-energy,0.6152344,0.7216797,,0.6152344,0.9472656,0.9472656,0.8623047,0.8388672,0.8125,0.4228516,0.8125
R2,WFG3,3,s-energy,0.3125,0.6875,0.4228516,,0.8932378,0.8623047,0.6523438,0.9677734,0.9677734,0.4228516,0.4228516
R2,WFG3,3,s-energy,0.09667969,0.4228516,0.06542969,0.1067622,,0.7539062,0.1875,0.8837891,0.2783203,0.05273438,0.04199219
R2,WFG3,3,s-energy,0.001953125,0.2158203,0.06542969,0.1611328,0.2783203,,0.1162109,0.5390625,0.2158203,0.09667969,0.2460938
R2,WFG3,3,s-energy,0.4228516,0.2460938,0.1611328,0.3847656,0.8388672,0.9033203,,0.9345703,0.7539062,0.2783203,0.5
R2,WFG3,3,s-energy,0.1162109,0.09667969,0.1875,0.04199219,0.1376953,0.5,0.08007812,,0.2158203,0.3476562,0.2460938
R2,WFG3,3,s-energy,0.1376953,0.2783203,0.2158203,0.04199219,0.7539062,0.8125,0.2783203,0.8125,,0.1611328,0.2783203
R2,WFG3,3,s-energy,0.3847656,0.6523438,0.6152344,0.6152344,0.9580078,0.9199219,0.7539062,0.6875,0.8623047,,0.6523438
R2,WFG3,3,s-energy,0.5771484,0.5390625,0.2158203,0.6152344,0.9677734,0.7841797,0.5390625,0.7841797,0.7539062,0.3847656,
IGD+,WFG3,3,spd,,0.3847656,0.3476562,0.1611328,0.1162109,0.03222656,0.4609375,0.2783203,0.2158203,0.04199219,0.4228516
IGD+,WFG3,3,spd,0.6523438,,0.3847656,0.1376953,0.1611328,0.02441406,0.5771484,0.3125,0.3125,0.04199219,0.6152344
IGD+,WFG3,3,spd,0.6875,0.6523438,,0.2460938,0.2783203,0.04199219,0.5,0.2783203,0.2783203,0.05273438,0.5
IGD+,WFG3,3,spd,0.8623047,0.8837891,0.7841797,,0.6152344,0.3847656,0.9677734,0.8388672,0.8623047,0.4609375,0.8837891
IGD+,WFG3,3,spd,0.9033203,0.8623047,0.7539062,0.4228516,,0.1376953,0.8388672,0.7841797,0.6875,0.2783203,0.8623047
IGD+,WFG3,3,spd,0.9755859,0.9814453,0.9677734,0.6523438,0.8837891,,0.9677734,0.9345703,0.8388672,0.7216797,0.9345703
IGD+,WFG3,3,spd,0.5771484,0.4609375,0.5390625,0.04199219,0.1875,0.04199219,,0.3847656,0.1611328,0.08007812,0.7539062
IGD+,WFG3,3,spd,0.7539062,0.7216797,0.7539062,0.1875,0.2460938,0.08007812,0.6523438,,0.2158203,0.09667969,0.7216797
IGD+,WFG3,3,spd,0.8125,0.7216797,0.7539062,0.1611328,0.3476562,0.1875,0.8623047,0.8125,,0.1875,0.9033203
IGD+,WFG3,3,spd,0.9677734,0.9677734,0.9580078,0.5771484,0.7539062,0.3125,0.9345703,0.9199219,0.8388672,,0.9199219
IGD+,WFG3,3,spd,0.6152344,0.4228516,0.5390625,0.1376953,0.1611328,0.08007812,0.2783203,0.3125,0.1162109,0.09667969,
R2,WFG3,3,spd,,0.9033203,0.8837891,0.3476562,0.3847656,0.2460938,0.5390625,0.3847656,0.6875,0.9472656,0.7216797
R2,WFG3,3,spd,0.1162109,,0.5771484,0.08007812,0.06542969,0.05273438,0.05273438,0.1162109,0.1162109,0.4609375,0.1611328
R2,WFG3,3,spd,0.1376953,0.4609375,,0.01855469,0.1162109,0.05273438,0.1875,0.08007812,0.2460938,0.6152344,0.3847656
R2,WFG3,3,spd,0.6875,0.9345703,0.9863281,,0.5236175,0.4228516,0.6152344,0.4609375,0.5771484,0.9199219,0.8837891
R2,WFG3,3,spd,0.6523438,0.9472656,0.9033203,0.4763825,,0.2783203,0.4609375,0.4609375,0.7841797,0.9677734,0.7216797
R2,WFG3,3,spd,0.7841797,0.9580078,0.9580078,0.6152344,0.7539062,,0.6875,0.5771484,0.7216797,0.9677734,0.8623047
R2,WFG3,3,spd,0.5,0.9580078,0.8388672,0.4228516,0.5771484,0.3476562,,0.4228516,0.4228516,0.8623047,0.7216797
R2,WFG3,3,spd,0.6523438,0.9033203,0.9345703,0.5771484,0.5771484,0.4609375,0.6152344,,0.6875,0.9033203,0.8125
R2,WFG3,3,spd,0.3476562,0.9033203,0.7841797,0.4609375,0.2460938,0.3125,0.6152344,0.3476562,,0.9580078,0.7216797
R2,WFG3,3,spd,0.06542969,0.5771484,0.4228516,0.09667969,0.04199219,0.04199219,0.1611328,0.1162109,0.05273438,,0.2460938
R2,WFG3,3,spd,0.3125,0.8623047,0.6523438,0.1376953,0.3125,0.1611328,0.3125,0.2158203,0.3125,0.7841797,
IGD+,WFG4,3,eps+,,0.9755859,0.9902344,0.7841797,0.8837891,0.9814453,0.9863281,0.9902344,0.9033203,0.9931641,1.0
IGD+,WFG4,3,eps+,0.03222656,,0.8623047,0.1611328,0.6152344,0.8388672,0.9580078,0.7216797,0.3847656,0.9472656,0.9814453
IGD+,WFG4,3,eps+,0.01367188,0.1611328,,0.002929688,0.3847656,0.3847656,0.5,0.4609375,0.1376953,0.5771484,0.6523438
IGD+,WFG4,3,eps+,0.2460938,0.8623047,0.9980469,,0.8125,0.9033203,0.9755859,0.9677734,0.7539062,0.8623047,0.9472656
IGD+,WFG4,3,eps+,0.1376953,0.4228516,0.6523438,0.2158203,,0.6875,0.7216797,0.7841797,0.4609375,0.8388672,0.7539062
IGD+,WFG4,3,eps+,0.02441406,0.1875,0.6523438,0.1162109,0.3476562,,0.7841797,0.4609375,0.1376953,0.5390625,0.7539062
IGD+,WFG4,3,eps+,0.01855469,0.05273438,0.5390625,0.03222656,0.3125,0.2460938,,0.3125,0.06542969,0.4228516,0.1611328
IGD+,WFG4,3,eps+,0.01367188,0.3125,0.5771484,0.04199219,0.2460938,0.5771484,0.7216797,,0.09667969,0.6523438,0.6875
IGD+,WFG4,3,eps+,0.1162109,0.6523438,0.8837891,0.2783203,0.5771484,0.8837891,0.9472656,0.9199219,,0.8623047,0.9345703
IGD+,WFG4,3,eps+,0.009765625,0.06542969,0.4609375,0.1611328,0.1875,0.5,0.6152344,0.3847656,0.1611328,,0.6875
IGD+,WFG4,3,eps+,0.0009765625,0.02441406,0.3847656,0.06542969,0.2783203,0.2783203,0.8623047,0.3476562,0.08007812,0.3476562,
R2,WFG4,3,eps+,,0.3847656,0.3476562,0.3847656,0.5,0.5390625,0.3847656,0.7841797,0.3847656,0.7539062,0.2969773
R2,WFG4,3,eps+,0.6523438,,0.4463692,0.458256,0.4328862,0.5,0.3847656,0.7216797,0.2783203,0.6523438,0.3125
R2,WFG4,3,eps+,0.6875,0.5536308,,0.6424997,0.6234238,0.541744,0.4228516,0.9033203,0.4228516,0.6875,0.4609375
R2,WFG4,3,eps+,0.6523438,0.541744,0.3575003,,0.4463692,0.6234238,0.5,0.7216797,0.3476562,0.5771484,0.4228516
R2,WFG4,3,eps+,0.5390625,0.5671138,0.3765762,0.5536308,,0.458256,0.5,0.8125,0.3847656,0.6523438,0.3847656
R2,WFG4,3,eps+,0.5,0.5,0.458256,0.3765762,0.541744,,0.3429152,0.7426651,0.3476562,0.4609375,0.2158203
R2,WFG4,3,eps+,0.6523438,0.6523438,0.6152344,0.5390625,0.5390625,0.6570848,,0.7995929,0.5236175,0.7841797,0.4228516
R2,WFG4,3,eps+,0.2460938,0.3125,0.1162109,0.3125,0.2158203,0.2573349,0.2004071,,0.3897173,0.2460938,0.1875
R2,WFG4,3,eps+,0.6523438,0.7539062,0.6152344,0.6875,0.6523438,0.6875,0.4763825,0.6102827,,0.5,0.2783203
R2,WFG4,3,eps+,0.2783203,0.3847656,0.3476562,0.4609375,0.3847656,0.5771484,0.2460938,0.7841797,0.5390625,,0.3847656
R2,WFG4,3,eps+,0.7030227,0.7216797,0.5771484,0.6152344,0.6523438,0.8125,0.6152344,0.8388672,0.7539062,0.6523438,
IGD+,WFG4,3,hv,,0.9755859,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGD+,WFG4,3,hv,0.03222656,,0.9472656,0.9931641,0.9980469,1.0,0.9990234,0.9990234,0.9980469,0.9980469,1.0
IGD+,WFG4,3,hv,0.0009765625,0.06542969,,1.0,1.0,1.0,1.0,1.0,0.9990234,1.0,1.0
IGD+,WFG4,3,hv,0.0009765625,0.009765625,0.0009765625,,0.9755859,0.8388672,0.9951172,0.9990234,0.9931641,1.0,1.0
IGD+,WFG4,3,hv,0.0009765625,0.002929688,0.0009765625,0.03222656,,0.3125,0.9814453,1.0,0.9580078,0.9980469,1.0
IGD+,WFG4,3,hv,0.0009765625,0.0009765625,0.0009765625,0.1875,0.7216797,,0.9863281,0.9970703,0.9755859,0.9902344,0.9990234
IGD+,WFG4,3,hv,0.0009765625,0.001953125,0.0009765625,0.006835938,0.02441406,0.01855469,,0.9033203,0.5390625,0.9033203,0.9580078
IGD+,WFG4,3,hv,0.0009765625,0.001953125,0.0009765625,0.001953125,0.0009765625,0.004882812,0.1162109,,0.2783203,0.6523438,0.8837891
IGD+,WFG4,3,hv,0.0009765625,0.002929688,0.001953125,0.009765625,0.05273438,0.03222656,0.5,0.7539062,,0.9199219,0.9033203
IGD+,WFG4,3,hv,0.0009765625,0.002929688,0.0009765625,0.0009765625,0.002929688,0.01367188,0.1162109,0.3847656,0.09667969,,0.6152344
IGD+,WFG4,3,hv,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.001953125,0.05273438,0.1376953,0.1162109,0.4228516,
R2,WFG4,3,hv,,0.1162109,0.2783203,0.1376953,0.06542969,0.1875,0.1875,0.3847656,0.2460938,0.6523438,0.1871297
R2,WFG4,3,hv,0.9033203,,0.9309946,0.8272762,0.8816382,0.9359049,0.8125,0.9472656,0.8837891,0.9980469,0.9345703
R2,WFG4,3,hv,0.7539062,0.06900537,,0.2326044,0.1244319,0.3765762,0.3847656,0.4609375,0.4228516,0.9345703,0.5
R2,WFG4,3,hv,0.8837891,0.1727238,0.7673956,,0.5536308,0.7684645,0.8125,0.8388672,0.6523438,0.9345703,0.8125
R2,WFG4,3,hv,0.9472656,0.1183618,0.8755681,0.4463692,,0.8755681,0.8623047,0.9033203,0.7216797,0.9970703,0.9033203
R2,WFG4,3,hv,0.8388672,0.06409509,0.6234238,0.2315355,0.1244319,,0.3429152,0.4294775,0.2783203,0.9033203,0.4228516
R2,WFG4,3,hv,0.8388672,0.2158203,0.6523438,0.2158203,0.1611328,0.6570848,,0.5556811,0.3835484,0.8623047,0.3476562
R2,WFG4,3,hv,0.6523438,0.06542969,0.5771484,0.1875,0.1162109,0.5705225,0.4443189,,0.5,0.6523438,0.3125
R2,WFG4,3,hv,0.7841797,0.1376953,0.6152344,0.3847656,0.3125,0.7539062,0.6164516,0.5,,0.8125,0.4609375
R2,WFG4,3,hv,0.3847656,0.002929688,0.08007812,0.08007812,0.004882812,0.1162109,0.1611328,0.3847656,0.2158203,,0.2158203
R2,WFG4,3,hv,0.8128703,0.08007812,0.5390625,0.2158203,0.1162109,0.6152344,0.6875,0.7216797,0.5771484,0.8125,
IGD+,WFG4,3,igd,,0.9980469,0.9970703,0.8623047,0.6875,0.3476562,0.5390625,0.1376953,0.7216797,0.09667969,0.0009765625
IGD+,WFG4,3,igd,0.002929688,,0.9199219,0.2158203,0.1875,0.002929688,0.08007812,0.006835938,0.1611328,0.01855469,0.0009765625
IGD+,WFG4,3,igd,0.004882812,0.09667969,,0.09667969,0.01855469,0.009765625,0.06542969,0.004882812,0.08007812,0.001953125,0.0009765625
IGD+,WFG4,3,igd,0.1611328,0.8125,0.9199219,,0.1162109,0.08007812,0.3476562,0.009765625,0.1376953,0.02441406,0.0009765625
IGD+,WFG4,3,igd,0.3476562,0.8388672,0.9863281,0.9033203,,0.3125,0.5771484,0.03222656,0.4609375,0.01367188,0.001953125
IGD+,WFG4,3,igd,0.6875,0.9980469,0.9931641,0.9345703,0.7216797,,0.7216797,0.09667969,0.7539062,0.1875,0.009765625
IGD+,WFG4,3,igd,0.5,0.9345703,0.9472656,0.6875,0.4609375,0.3125,,0.08007812,0.6523438,0.08007812,0.009765625
IGD+,WFG4,3,igd,0.8837891,0.9951172,0.9970703,0.9931641,0.9755859,0.9199219,0.9345703,,0.9345703,0.3125,0.1376953
IGD+,WFG4,3,igd,0.3125,0.8623047,0.9345703,0.8837891,0.5771484,0.2783203,0.3847656,0.08007812,,0.05273438,0.004882812
IGD+,WFG4,3,igd,0.9199219,0.9863281,0.9990234,0.9814453,0.9902344,0.8388672,0.9345703,0.7216797,0.9580078,,0.2460938
IGD+,WFG4,3,igd,1.0,1.0,1.0,1.0,0.9990234,0.9931641,0.9931641,0.8837891,0.9970703,0.7841797,
R2,WFG4,3,igd,,0.5,0.5771484,0.2783203,0.2158203,0.6523438,0.7216797,0.1376953,0.2158203,0.9863281,0.2573349
R2,WFG4,3,igd,0.5390625,,0.4463692,0.6999103,0.3060449,0.4328862,0.5390625,0.1376953,0.1162109,0.9472656,0.09667969
R2,WFG4,3,igd,0.4609375,0.5536308,,0.6424997,0.2315355,0.541744,0.5390625,0.1162109,0.03222656,0.9814453,0.3125
R2,WFG4,3,igd,0.7539062,0.3000897,0.3575003,,0.1124579,0.6234238,0.7216797,0.1875,0.08007812,0.9033203,0.3125
R2,WFG4,3,igd,0.8125,0.6939551,0.7684645,0.8875421,,0.6234238,0.7539062,0.1376953,0.3125,0.9980469,0.4228516
R2,WFG4,3,igd,0.3847656,0.5671138,0.458256,0.3765762,0.3765762,,0.9601921,0.1301965,0.1162109,0.9677734,0.2783203
R2,WFG4,3,igd,0.3125,0.5,0.5,0.3125,0.2783203,0.0398079,,0.08071473,0.05487232,0.9472656,0.2783203
R2,WFG4,3,igd,0.8837891,0.8837891,0.9033203,0.8388672,0.8837891,0.8698035,0.9192853,,0.5,0.9931641,0.6523438
R2,WFG4,3,igd,0.8125,0.9033203,0.9755859,0.9345703,0.7216797,0.9033203,0.9451277,0.5,,0.9980469,0.7539062
R2,WFG4,3,igd,0.01855469,0.06542969,0.02441406,0.1162109,0.002929688,0.04199219,0.06542969,0.009765625,0.002929688,,0.01855469
R2,WFG4,3,igd,0.7426651,0.9199219,0.7216797,0.7216797,0.6152344,0.7539062,0.7539062,0.3847656,0.2783203,0.9863281,
IGD+,WFG4,3,igd+,,0.9814453,0.9990234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IGD+,WFG4,3,igd+,0.02441406,,0.9677734,0.9980469,1.0,1.0,0.9990234,1.0,0.9990234,0.9970703,1.0
IGD+,WFG4,3,igd+,0.001953125,0.04199219,,0.9980469,1.0,0.9990234,1.0,1.0,1.0,0.9990234,1.0
IGD+,WFG4,3,igd+,0.0009765625,0.002929688,0.002929688,,0.6152344,0.4228516,0.9677734,0.9345703,0.8388672,0.9345703,0.9863281
IGD+,WFG4,3,igd+,0.0009765625,0.0009765625,0.0009765625,0.4228516,,0.3125,0.9580078,0.9472656,0.8388672,0.9677734,1.0
IGD+,WFG4,3,igd+,0.0009765625,0.0009765625,0.001953125,0.6152344,0.7216797,,0.9814453,0.9863281,0.9345703,0.9755859,1.0
IGD+,WFG4,3,igd+,0.0009765625,0.001953125,0.0009765625,0.04199219,0.05273438,0.02441406,,0.5771484,0.6523438,0.6523438,0.7841797
IGD+,WFG4,3,igd+,0.0009765625,0.0009765625,0.0009765625,0.08007812,0.06542969,0.01855469,0.4609375,,0.5390625,0.7539062,0.9199219
IGD+,WFG4,3,igd+,0.0009765625,0.001953125,0.0009765625,0.1875,0.1875,0.08007812,0.3847656,0.5,,0.8623047,0.8388672
IGD+,WFG4,3,igd+,0.0009765625,0.004882812,0.001953125,0.08007812,0.04199219,0.03222656,0.3847656,0.2783203,0.1611328,,0.6152344
IGD+,WFG4,3,igd+,0.0009765625,0.0009765625,0.0009765625,0.01855469,0.0009765625,0.0009765625,0.2460938,0.09667969,0.1875,0.4228516,
R2,WFG4,3,igd+,,0.1162109,0.2783203,0.08007812,0.04199219,0.2460938,0.3125,0.4228516,0.2460938,0.2783203,0.2573349
R2,WFG4,3,igd+,0.9033203,,0.9601921,0.6234238,0.5671138,0.8447528,0.7841797,0.9472656,0.7539062,0.9345703,0.9345703
R2,WFG4,3,igd+,0.7539062,0.0398079,,0.07206352,0.01385392,0.3765762,0.3847656,0.5390625,0.3847656,0.6523438,0.6152344
R2,WFG4,3,igd+,0.9345703,0.3765762,0.9279365,,0.4463692,0.9768003,0.8837891,0.9345703,0.7216797,0.8837891,0.9199219
R2,WFG4,3,igd+,0.9677734,0.4328862,0.9861461,0.5536308,,0.8272762,0.7841797,0.8837891,0.6523438,0.9677734,0.9199219
R2,WFG4,3,igd+,0.7841797,0.1552472,0.6234238,0.02319973,0.1727238,,0.4463692,0.4763825,0.3847656,0.5771484,0.6523438
R2,WFG4,3,igd+,0.7216797,0.2460938,0.6523438,0.1376953,0.2460938,0.5536308,,0.6102827,0.5236175,0.5390625,0.6152344
