problema,dimension,0.001,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,0.999
DTLZ3,4,6.758780e+01 +- 6.758780e+01,6.839434e+01 +- 6.839434e+01,6.945062e+01 +- 6.945062e+01,6.814518e+01 +- 6.814518e+01,6.829598e+01 +- 6.829598e+01,6.925176e+01 +- 6.925176e+01,6.787444e+01 +- 6.787444e+01,6.809531e+01 +- 6.809531e+01,6.824716e+01 +- 6.824716e+01,6.819350e+01 +- 6.819350e+01,6.817125e+01 +- 6.817125e+01
DTLZ3,5,9.137770e+01 +- 9.137770e+01,9.272854e+01 +- 9.272854e+01,9.279946e+01 +- 9.279946e+01,9.160130e+01 +- 9.160130e+01,9.044309e+01 +- 9.044309e+01,8.942384e+01 +- 8.942384e+01,8.998662e+01 +- 8.998662e+01,8.949976e+01 +- 8.949976e+01,9.178851e+01 +- 9.178851e+01,8.819814e+01 +- 8.819814e+01,9.128501e+01 +- 9.128501e+01
DTLZ3,6,8.627958e+01 +- 8.627958e+01,9.372709e+01 +- 9.372709e+01,9.850431e+01 +- 9.850431e+01,9.290479e+01 +- 9.290479e+01,9.960593e+01 +- 9.960593e+01,9.791070e+01 +- 9.791070e+01,9.852998e+01 +- 9.852998e+01,1.037681e+02 +- 1.037681e+02,1.000371e+02 +- 1.000371e+02,8.750659e+01 +- 8.750659e+01,9.470005e+01 +- 9.470005e+01
DTLZ3,7,5.055989e+01 +- 5.055989e+01,2.384490e+01 +- 2.384490e+01,3.835813e+01 +- 3.835813e+01,2.530865e+01 +- 2.530865e+01,4.732091e+01 +- 4.732091e+01,4.637311e+01 +- 4.637311e+01,5.809799e+01 +- 5.809799e+01,3.968461e+01 +- 3.968461e+01,3.513144e+01 +- 3.513144e+01,4.414254e+01 +- 4.414254e+01,4.761585e+01 +- 4.761585e+01
DTLZ3,10,,,,,,,,,,,
DTLZ4,2,6.178058e+00 +- 6.178058e+00,6.173667e+00 +- 6.173667e+00,6.172828e+00 +- 6.172828e+00,6.172117e+00 +- 6.172117e+00,6.174815e+00 +- 6.174815e+00,6.181558e+00 +- 6.181558e+00,6.172362e+00 +- 6.172362e+00,6.171182e+00 +- 6.171182e+00,6.170558e+00 +- 6.170558e+00,6.178806e+00 +- 6.178806e+00,6.185848e+00 +- 6.185848e+00
DTLZ4,3,1.969526e+01 +- 1.969526e+01,1.973042e+01 +- 1.973042e+01,1.987831e+01 +- 1.987831e+01,1.993044e+01 +- 1.993044e+01,1.982980e+01 +- 1.982980e+01,1.975739e+01 +- 1.975739e+01,1.982429e+01 +- 1.982429e+01,1.986011e+01 +- 1.986011e+01,1.983385e+01 +- 1.983385e+01,1.992289e+01 +- 1.992289e+01,1.988015e+01 +- 1.988015e+01
DTLZ4,4,3.507542e+01 +- 3.507542e+01,4.108640e+01 +- 4.108640e+01,4.102323e+01 +- 4.102323e+01,4.139376e+01 +- 4.139376e+01,4.147660e+01 +- 4.147660e+01,4.116933e+01 +- 4.116933e+01,4.123457e+01 +- 4.123457e+01,4.141346e+01 +- 4.141346e+01,4.140312e+01 +- 4.140312e+01,4.118015e+01 +- 4.118015e+01,3.501875e+01 +- 3.501875e+01
DTLZ4,5,5.112375e+01 +- 5.112375e+01,4.458633e+01 +- 4.458633e+01,4.454547e+01 +- 4.454547e+01,4.456832e+01 +- 4.456832e+01,5.343973e+01 +- 5.343973e+01,6.579336e+01 +- 6.579336e+01,5.061706e+01 +- 5.061706e+01,5.079548e+01 +- 5.079548e+01,5.072436e+01 +- 5.072436e+01,5.561428e+01 +- 5.561428e+01,5.620610e+01 +- 5.620610e+01
DTLZ4,6,2.968638e+01 +- 2.968638e+01,2.970406e+01 +- 2.970406e+01,2.970406e+01 +- 2.970406e+01,2.928107e+01 +- 2.928107e+01,2.928107e+01 +- 2.928107e+01,2.984418e+01 +- 2.984418e+01,2.984418e+01 +- 2.984418e+01,2.942609e+01 +- 2.942609e+01,2.942609e+01 +- 2.942609e+01,2.904783e+01 +- 2.904783e+01,2.945710e+01 +- 2.945710e+01
DTLZ4,7,3.295084e+01 +- 3.295084e+01,3.295084e+01 +- 3.295084e+01,3.295084e+01 +- 3.295084e+01,3.295084e+01 +- 3.295084e+01,3.295084e+01 +- 3.295084e+01,3.295084e+01 +- 3.295084e+01,3.295084e+01 +- 3.295084e+01,3.295084e+01 +- 3.295084e+01,3.295084e+01 +- 3.295084e+01,3.295084e+01 +- 3.295084e+01,3.295084e+01 +- 3.295084e+01
DTLZ4,10,,,,,,,,,,,
DTLZ5,2,8.820200e+00 +- 8.820200e+00,8.805556e+00 +- 8.805556e+00,8.818531e+00 +- 8.818531e+00,8.814017e+00 +- 8.814017e+00,8.804901e+00 +- 8.804901e+00,8.819796e+00 +- 8.819796e+00,8.803463e+00 +- 8.803463e+00,8.806985e+00 +- 8.806985e+00,8.816101e+00 +- 8.816101e+00,8.816303e+00 +- 8.816303e+00,8.820067e+00 +- 8.820067e+00
DTLZ5,3,8.799145e+00 +- 8.799145e+00,8.801970e+00 +- 8.801970e+00,8.817499e+00 +- 8.817499e+00,8.799731e+00 +- 8.799731e+00,8.799980e+00 +- 8.799980e+00,8.805039e+00 +- 8.805039e+00,8.808486e+00 +- 8.808486e+00,8.798185e+00 +- 8.798185e+00,8.801945e+00 +- 8.801945e+00,8.805981e+00 +- 8.805981e+00,8.817151e+00 +- 8.817151e+00
DTLZ5,4,6.826892e+01 +- 6.826892e+01,7.108061e+01 +- 7.108061e+01,7.074863e+01 +- 7.074863e+01,6.975566e+01 +- 6.975566e+01,7.003009e+01 +- 7.003009e+01,6.923757e+01 +- 6.923757e+01,6.934813e+01 +- 6.934813e+01,6.990129e+01 +- 6.990129e+01,6.936198e+01 +- 6.936198e+01,7.119114e+01 +- 7.119114e+01,7.009539e+01 +- 7.009539e+01
DTLZ5,5,1.010176e+02 +- 1.010176e+02,1.015828e+02 +- 1.015828e+02,1.003961e+02 +- 1.003961e+02,1.026599e+02 +- 1.026599e+02,1.015814e+02 +- 1.015814e+02,1.017686e+02 +- 1.017686e+02,1.007097e+02 +- 1.007097e+02,1.006596e+02 +- 1.006596e+02,9.956680e+01 +- 9.956680e+01,1.016640e+02 +- 1.016640e+02,9.972334e+01 +- 9.972334e+01
DTLZ5,6,1.012548e+02 +- 1.012548e+02,1.019581e+02 +- 1.019581e+02,1.045653e+02 +- 1.045653e+02,1.041292e+02 +- 1.041292e+02,1.015052e+02 +- 1.015052e+02,1.014602e+02 +- 1.014602e+02,1.016705e+02 +- 1.016705e+02,1.015440e+02 +- 1.015440e+02,9.993446e+01 +- 9.993446e+01,1.008403e+02 +- 1.008403e+02,1.046482e+02 +- 1.046482e+02
DTLZ5,7,1.064064e+02 +- 1.064064e+02,1.061649e+02 +- 1.061649e+02,1.056613e+02 +- 1.056613e+02,1.067175e+02 +- 1.067175e+02,1.060571e+02 +- 1.060571e+02,1.069108e+02 +- 1.069108e+02,1.071574e+02 +- 1.071574e+02,1.088406e+02 +- 1.088406e+02,1.066104e+02 +- 1.066104e+02,1.068202e+02 +- 1.068202e+02,1.058795e+02 +- 1.058795e+02
DTLZ5,10,,,,,,,,,,,
DTLZ6,2,9.292204e+00 +- 9.292204e+00,9.216965e+00 +- 9.216965e+00,9.297862e+00 +- 9.297862e+00,9.099008e+00 +- 9.099008e+00,9.005204e+00 +- 9.005204e+00,9.204850e+00 +- 9.204850e+00,8.928143e+00 +- 8.928143e+00,9.104328e+00 +- 9.104328e+00,9.198855e+00 +- 9.198855e+00,9.201882e+00 +- 9.201882e+00,9.304834e+00 +- 9.304834e+00
DTLZ6,3,8.888293e+00 +- 8.888293e+00,8.902336e+00 +- 8.902336e+00,9.087724e+00 +- 9.087724e+00,9.095905e+00 +- 9.095905e+00,8.794152e+00 +- 8.794152e+00,9.156691e+00 +- 9.156691e+00,8.980541e+00 +- 8.980541e+00,8.883931e+00 +- 8.883931e+00,9.151436e+00 +- 9.151436e+00,8.893381e+00 +- 8.893381e+00,9.000896e+00 +- 9.000896e+00
DTLZ6,4,8.581828e+01 +- 8.581828e+01,8.342572e+01 +- 8.342572e+01,8.679909e+01 +- 8.679909e+01,8.511594e+01 +- 8.511594e+01,8.291103e+01 +- 8.291103e+01,8.648491e+01 +- 8.648491e+01,8.368537e+01 +- 8.368537e+01,8.232793e+01 +- 8.232793e+01,8.490254e+01 +- 8.490254e+01,8.546994e+01 +- 8.546994e+01,8.698033e+01 +- 8.698033e+01
DTLZ6,5,1.118915e+02 +- 1.118915e+02,1.121087e+02 +- 1.121087e+02,1.123121e+02 +- 1.123121e+02,1.113090e+02 +- 1.113090e+02,1.114136e+02 +- 1.114136e+02,1.128377e+02 +- 1.128377e+02,1.123587e+02 +- 1.123587e+02,1.107758e+02 +- 1.107758e+02,1.128612e+02 +- 1.128612e+02,1.116896e+02 +- 1.116896e+02,1.111156e+02 +- 1.111156e+02
DTLZ6,6,1.144878e+02 +- 1.144878e+02,1.130491e+02 +- 1.130491e+02,1.128322e+02 +- 1.128322e+02,1.126844e+02 +- 1.126844e+02,1.131439e+02 +- 1.131439e+02,1.144587e+02 +- 1.144587e+02,1.132166e+02 +- 1.132166e+02,1.118382e+02 +- 1.118382e+02,1.093154e+02 +- 1.093154e+02,1.118234e+02 +- 1.118234e+02,1.090285e+02 +- 1.090285e+02
DTLZ6,7,1.004380e+02 +- 1.004380e+02,1.106793e+02 +- 1.106793e+02,1.107253e+02 +- 1.107253e+02,1.120729e+02 +- 1.120729e+02,1.132010e+02 +- 1.132010e+02,1.118150e+02 +- 1.118150e+02,1.094410e+02 +- 1.094410e+02,1.103873e+02 +- 1.103873e+02,1.130804e+02 +- 1.130804e+02,1.020324e+02 +- 1.020324e+02,1.112392e+02 +- 1.112392e+02
DTLZ6,10,,,,,,,,,,,
DTLZ7,2,1.086873e+01 +- 1.086873e+01,1.013159e+01 +- 1.013159e+01,1.086790e+01 +- 1.086790e+01,1.013065e+01 +- 1.013065e+01,1.086825e+01 +- 1.086825e+01,1.086788e+01 +- 1.086788e+01,1.086789e+01 +- 1.086789e+01,1.086692e+01 +- 1.086692e+01,1.086864e+01 +- 1.086864e+01,1.086671e+01 +- 1.086671e+01,1.086798e+01 +- 1.086798e+01
DTLZ7,3,4.284024e+01 +- 4.284024e+01,4.274213e+01 +- 4.274213e+01,4.305619e+01 +- 4.305619e+01,4.071176e+01 +- 4.071176e+01,4.531370e+01 +- 4.531370e+01,4.517407e+01 +- 4.517407e+01,3.780989e+01 +- 3.780989e+01,4.475820e+01 +- 4.475820e+01,4.509254e+01 +- 4.509254e+01,4.523179e+01 +- 4.523179e+01,4.293129e+01 +- 4.293129e+01
DTLZ7,4,6.309279e+01 +- 6.309279e+01,7.798085e+01 +- 7.798085e+01,7.564484e+01 +- 7.564484e+01,6.963995e+01 +- 6.963995e+01,6.934418e+01 +- 6.934418e+01,7.229657e+01 +- 7.229657e+01,8.051011e+01 +- 8.051011e+01,7.114956e+01 +- 7.114956e+01,6.581021e+01 +- 6.581021e+01,7.609331e+01 +- 7.609331e+01,7.377362e+01 +- 7.377362e+01
DTLZ7,5,9.600868e+01 +- 9.600868e+01,9.684787e+01 +- 9.684787e+01,9.628739e+01 +- 9.628739e+01,9.629328e+01 +- 9.629328e+01,9.574137e+01 +- 9.574137e+01,9.586257e+01 +- 9.586257e+01,9.564697e+01 +- 9.564697e+01,9.522132e+01 +- 9.522132e+01,9.552404e+01 +- 9.552404e+01,9.673074e+01 +- 9.673074e+01,9.581134e+01 +- 9.581134e+01
DTLZ7,6,1.098271e+02 +- 1.098271e+02,1.088504e+02 +- 1.088504e+02,1.097719e+02 +- 1.097719e+02,1.085545e+02 +- 1.085545e+02,1.085218e+02 +- 1.085218e+02,1.090761e+02 +- 1.090761e+02,1.080816e+02 +- 1.080816e+02,1.090264e+02 +- 1.090264e+02,1.088233e+02 +- 1.088233e+02,1.092459e+02 +- 1.092459e+02,1.094864e+02 +- 1.094864e+02
DTLZ7,7,1.147416e+02 +- 1.147416e+02,1.146424e+02 +- 1.146424e+02,1.148566e+02 +- 1.148566e+02,1.146083e+02 +- 1.146083e+02,1.145815e+02 +- 1.145815e+02,1.149259e+02 +- 1.149259e+02,1.148742e+02 +- 1.148742e+02,1.149660e+02 +- 1.149660e+02,1.145035e+02 +- 1.145035e+02,1.149282e+02 +- 1.149282e+02,1.146178e+02 +- 1.146178e+02
DTLZ7,10,,,,,,,,,,,
WFG1,2,2.116018e+01 +- 2.116018e+01,2.114347e+01 +- 2.114347e+01,2.112574e+01 +- 2.112574e+01,2.106329e+01 +- 2.106329e+01,2.109162e+01 +- 2.109162e+01,2.113679e+01 +- 2.113679e+01,2.109166e+01 +- 2.109166e+01,2.111230e+01 +- 2.111230e+01,2.119462e+01 +- 2.119462e+01,2.120094e+01 +- 2.120094e+01,2.115241e+01 +- 2.115241e+01
WFG1,3,8.098334e+01 +- 8.098334e+01,8.154609e+01 +- 8.154609e+01,8.178110e+01 +- 8.178110e+01,8.136255e+01 +- 8.136255e+01,8.125673e+01 +- 8.125673e+01,8.085057e+01 +- 8.085057e+01,8.198442e+01 +- 8.198442e+01,8.161878e+01 +- 8.161878e+01,8.113918e+01 +- 8.113918e+01,8.096075e+01 +- 8.096075e+01,8.222355e+01 +- 8.222355e+01
WFG1,4,1.024759e+02 +- 1.024759e+02,1.030042e+02 +- 1.030042e+02,1.027370e+02 +- 1.027370e+02,1.024230e+02 +- 1.024230e+02,1.023830e+02 +- 1.023830e+02,1.024246e+02 +- 1.024246e+02,1.019573e+02 +- 1.019573e+02,1.015796e+02 +- 1.015796e+02,1.021164e+02 +- 1.021164e+02,1.027454e+02 +- 1.027454e+02,1.022667e+02 +- 1.022667e+02
WFG1,5,1.063327e+02 +- 1.063327e+02,1.067328e+02 +- 1.067328e+02,1.062488e+02 +- 1.062488e+02,1.067607e+02 +- 1.067607e+02,1.075037e+02 +- 1.075037e+02,1.075037e+02 +- 1.075037e+02,1.082799e+02 +- 1.082799e+02,1.080747e+02 +- 1.080747e+02,1.010340e+02 +- 1.010340e+02,1.065783e+02 +- 1.065783e+02,1.065414e+02 +- 1.065414e+02
WFG1,6,1.030372e+02 +- 1.030372e+02,1.095660e+02 +- 1.095660e+02,1.096510e+02 +- 1.096510e+02,1.099753e+02 +- 1.099753e+02,1.100418e+02 +- 1.100418e+02,1.101040e+02 +- 1.101040e+02,1.101040e+02 +- 1.101040e+02,1.030220e+02 +- 1.030220e+02,1.084199e+02 +- 1.084199e+02,1.094858e+02 +- 1.094858e+02,1.059501e+02 +- 1.059501e+02
