problema,dimension,0.001,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,0.999
WFG3,7,1.140070e+02 +- 1.140070e+02,1.146296e+02 +- 1.146296e+02,1.150384e+02 +- 1.150384e+02,1.148939e+02 +- 1.148939e+02,1.148208e+02 +- 1.148208e+02,1.148208e+02 +- 1.148208e+02,1.145076e+02 +- 1.145076e+02,1.144435e+02 +- 1.144435e+02,1.154760e+02 +- 1.154760e+02,1.145616e+02 +- 1.145616e+02,1.156642e+02 +- 1.156642e+02
WFG3,10,,,,,,,,,,,
WFG4,2,2.469884e+01 +- 2.469884e+01,2.471402e+01 +- 2.471402e+01,2.472843e+01 +- 2.472843e+01,2.471261e+01 +- 2.471261e+01,2.470333e+01 +- 2.470333e+01,2.469926e+01 +- 2.469926e+01,2.471060e+01 +- 2.471060e+01,2.471721e+01 +- 2.471721e+01,2.470918e+01 +- 2.470918e+01,2.471069e+01 +- 2.471069e+01,2.469337e+01 +- 2.469337e+01
WFG4,3,1.097929e+02 +- 1.097929e+02,1.095439e+02 +- 1.095439e+02,1.094001e+02 +- 1.094001e+02,1.094793e+02 +- 1.094793e+02,1.095091e+02 +- 1.095091e+02,1.092716e+02 +- 1.092716e+02,1.094674e+02 +- 1.094674e+02,1.093802e+02 +- 1.093802e+02,1.094180e+02 +- 1.094180e+02,1.095066e+02 +- 1.095066e+02,1.099738e+02 +- 1.099738e+02
WFG4,4,1.196260e+02 +- 1.196260e+02,1.194641e+02 +- 1.194641e+02,1.195119e+02 +- 1.195119e+02,1.195119e+02 +- 1.195119e+02,1.194666e+02 +- 1.194666e+02,1.194758e+02 +- 1.194758e+02,1.194818e+02 +- 1.194818e+02,1.196019e+02 +- 1.196019e+02,1.195763e+02 +- 1.195763e+02,1.194979e+02 +- 1.194979e+02,1.196134e+02 +- 1.196134e+02
WFG4,5,1.199743e+02 +- 1.199743e+02,1.199669e+02 +- 1.199669e+02,1.199682e+02 +- 1.199682e+02,1.199588e+02 +- 1.199588e+02,1.199588e+02 +- 1.199588e+02,1.199750e+02 +- 1.199750e+02,1.199789e+02 +- 1.199789e+02,1.198918e+02 +- 1.198918e+02,1.199803e+02 +- 1.199803e+02,1.199831e+02 +- 1.199831e+02,1.199669e+02 +- 1.199669e+02
WFG4,6,1.199718e+02 +- 1.199718e+02,1.199941e+02 +- 1.199941e+02,1.199922e+02 +- 1.199922e+02,1.199925e+02 +- 1.199925e+02,1.199910e+02 +- 1.199910e+02,1.199910e+02 +- 1.199910e+02,1.199910e+02 +- 1.199910e+02,1.199910e+02 +- 1.199910e+02,1.199910e+02 +- 1.199910e+02,1.199924e+02 +- 1.199924e+02,1.199935e+02 +- 1.199935e+02
WFG4,7,1.199521e+02 +- 1.199521e+02,1.199212e+02 +- 1.199212e+02,1.199198e+02 +- 1.199198e+02,1.199205e+02 +- 1.199205e+02,1.199205e+02 +- 1.199205e+02,1.199205e+02 +- 1.199205e+02,1.199205e+02 +- 1.199205e+02,1.199205e+02 +- 1.199205e+02,1.199206e+02 +- 1.199206e+02,1.199251e+02 +- 1.199251e+02,1.199428e+02 +- 1.199428e+02
WFG4,10,,,,,,,,,,,
WFG5,2,2.401152e+01 +- 2.401152e+01,2.399686e+01 +- 2.399686e+01,2.407336e+01 +- 2.407336e+01,2.403299e+01 +- 2.403299e+01,2.405213e+01 +- 2.405213e+01,2.410018e+01 +- 2.410018e+01,2.407171e+01 +- 2.407171e+01,2.397242e+01 +- 2.397242e+01,2.402092e+01 +- 2.402092e+01,2.397721e+01 +- 2.397721e+01,2.398304e+01 +- 2.398304e+01
WFG5,3,1.082317e+02 +- 1.082317e+02,1.083675e+02 +- 1.083675e+02,1.080379e+02 +- 1.080379e+02,1.080722e+02 +- 1.080722e+02,1.080836e+02 +- 1.080836e+02,1.082707e+02 +- 1.082707e+02,1.082099e+02 +- 1.082099e+02,1.078880e+02 +- 1.078880e+02,1.081663e+02 +- 1.081663e+02,1.083676e+02 +- 1.083676e+02,1.084584e+02 +- 1.084584e+02
WFG5,4,1.192588e+02 +- 1.192588e+02,1.192055e+02 +- 1.192055e+02,1.192055e+02 +- 1.192055e+02,1.191283e+02 +- 1.191283e+02,1.191283e+02 +- 1.191283e+02,1.191283e+02 +- 1.191283e+02,1.191022e+02 +- 1.191022e+02,1.191797e+02 +- 1.191797e+02,1.191004e+02 +- 1.191004e+02,1.192747e+02 +- 1.192747e+02,1.192735e+02 +- 1.192735e+02
WFG5,5,1.198369e+02 +- 1.198369e+02,1.198369e+02 +- 1.198369e+02,1.198369e+02 +- 1.198369e+02,1.198369e+02 +- 1.198369e+02,1.198369e+02 +- 1.198369e+02,1.198369e+02 +- 1.198369e+02,1.198369e+02 +- 1.198369e+02,1.198369e+02 +- 1.198369e+02,1.198369e+02 +- 1.198369e+02,1.198369e+02 +- 1.198369e+02,1.198369e+02 +- 1.198369e+02
WFG5,6,1.198979e+02 +- 1.198979e+02,1.198979e+02 +- 1.198979e+02,1.198979e+02 +- 1.198979e+02,1.198979e+02 +- 1.198979e+02,1.198979e+02 +- 1.198979e+02,1.198979e+02 +- 1.198979e+02,1.198979e+02 +- 1.198979e+02,1.198979e+02 +- 1.198979e+02,1.198979e+02 +- 1.198979e+02,1.198979e+02 +- 1.198979e+02,1.198979e+02 +- 1.198979e+02
WFG5,7,1.199049e+02 +- 1.199049e+02,1.199049e+02 +- 1.199049e+02,1.199049e+02 +- 1.199049e+02,1.199049e+02 +- 1.199049e+02,1.199049e+02 +- 1.199049e+02,1.199049e+02 +- 1.199049e+02,1.199049e+02 +- 1.199049e+02,1.199049e+02 +- 1.199049e+02,1.199049e+02 +- 1.199049e+02,1.199049e+02 +- 1.199049e+02,1.199049e+02 +- 1.199049e+02
WFG5,10,,,,,,,,,,,
WFG6,2,2.476502e+01 +- 2.476502e+01,2.476572e+01 +- 2.476572e+01,2.474990e+01 +- 2.474990e+01,2.477585e+01 +- 2.477585e+01,2.473015e+01 +- 2.473015e+01,2.476004e+01 +- 2.476004e+01,2.476672e+01 +- 2.476672e+01,2.475103e+01 +- 2.475103e+01,2.475953e+01 +- 2.475953e+01,2.475257e+01 +- 2.475257e+01,2.477849e+01 +- 2.477849e+01
WFG6,3,1.096854e+02 +- 1.096854e+02,1.096952e+02 +- 1.096952e+02,1.099291e+02 +- 1.099291e+02,1.099192e+02 +- 1.099192e+02,1.098527e+02 +- 1.098527e+02,1.098486e+02 +- 1.098486e+02,1.094967e+02 +- 1.094967e+02,1.097113e+02 +- 1.097113e+02,1.093427e+02 +- 1.093427e+02,1.099519e+02 +- 1.099519e+02,1.100377e+02 +- 1.100377e+02
WFG6,4,1.195429e+02 +- 1.195429e+02,1.195903e+02 +- 1.195903e+02,1.195903e+02 +- 1.195903e+02,1.195859e+02 +- 1.195859e+02,1.195859e+02 +- 1.195859e+02,1.195727e+02 +- 1.195727e+02,1.195587e+02 +- 1.195587e+02,1.195633e+02 +- 1.195633e+02,1.196059e+02 +- 1.196059e+02,1.195895e+02 +- 1.195895e+02,1.196526e+02 +- 1.196526e+02
WFG6,5,1.198824e+02 +- 1.198824e+02,1.198629e+02 +- 1.198629e+02,1.198629e+02 +- 1.198629e+02,1.198629e+02 +- 1.198629e+02,1.198629e+02 +- 1.198629e+02,1.198629e+02 +- 1.198629e+02,1.198629e+02 +- 1.198629e+02,1.198629e+02 +- 1.198629e+02,1.198629e+02 +- 1.198629e+02,1.198637e+02 +- 1.198637e+02,1.198832e+02 +- 1.198832e+02
WFG6,6,1.199768e+02 +- 1.199768e+02,1.199768e+02 +- 1.199768e+02,1.199768e+02 +- 1.199768e+02,1.199768e+02 +- 1.199768e+02,1.199768e+02 +- 1.199768e+02,1.199768e+02 +- 1.199768e+02,1.199768e+02 +- 1.199768e+02,1.199768e+02 +- 1.199768e+02,1.199768e+02 +- 1.199768e+02,1.199768e+02 +- 1.199768e+02,1.199768e+02 +- 1.199768e+02
WFG6,7,1.199414e+02 +- 1.199414e+02,1.199414e+02 +- 1.199414e+02,1.199414e+02 +- 1.199414e+02,1.199414e+02 +- 1.199414e+02,1.199414e+02 +- 1.199414e+02,1.199414e+02 +- 1.199414e+02,1.199414e+02 +- 1.199414e+02,1.199414e+02 +- 1.199414e+02,1.199414e+02 +- 1.199414e+02,1.199414e+02 +- 1.199414e+02,1.199414e+02 +- 1.199414e+02
WFG6,10,,,,,,,,,,,
WFG7,2,2.475301e+01 +- 2.475301e+01,2.473717e+01 +- 2.473717e+01,2.476500e+01 +- 2.476500e+01,2.472858e+01 +- 2.472858e+01,2.474844e+01 +- 2.474844e+01,2.473494e+01 +- 2.473494e+01,2.474086e+01 +- 2.474086e+01,2.473652e+01 +- 2.473652e+01,2.474163e+01 +- 2.474163e+01,2.475040e+01 +- 2.475040e+01,2.476361e+01 +- 2.476361e+01
WFG7,3,1.099504e+02 +- 1.099504e+02,1.099216e+02 +- 1.099216e+02,1.098966e+02 +- 1.098966e+02,1.098966e+02 +- 1.098966e+02,1.098057e+02 +- 1.098057e+02,1.099010e+02 +- 1.099010e+02,1.098440e+02 +- 1.098440e+02,1.100043e+02 +- 1.100043e+02,1.098898e+02 +- 1.098898e+02,1.094826e+02 +- 1.094826e+02,1.096164e+02 +- 1.096164e+02
WFG7,4,1.196220e+02 +- 1.196220e+02,1.195382e+02 +- 1.195382e+02,1.195347e+02 +- 1.195347e+02,1.195585e+02 +- 1.195585e+02,1.195767e+02 +- 1.195767e+02,1.195543e+02 +- 1.195543e+02,1.195197e+02 +- 1.195197e+02,1.195630e+02 +- 1.195630e+02,1.195759e+02 +- 1.195759e+02,1.197251e+02 +- 1.197251e+02,1.196038e+02 +- 1.196038e+02
WFG7,5,1.198879e+02 +- 1.198879e+02,1.198705e+02 +- 1.198705e+02,1.198150e+02 +- 1.198150e+02,1.198556e+02 +- 1.198556e+02,1.198421e+02 +- 1.198421e+02,1.199014e+02 +- 1.199014e+02,1.199014e+02 +- 1.199014e+02,1.198189e+02 +- 1.198189e+02,1.198862e+02 +- 1.198862e+02,1.199233e+02 +- 1.199233e+02,1.198155e+02 +- 1.198155e+02
WFG7,6,1.199205e+02 +- 1.199205e+02,1.199694e+02 +- 1.199694e+02,1.199694e+02 +- 1.199694e+02,1.199692e+02 +- 1.199692e+02,1.199692e+02 +- 1.199692e+02,1.199713e+02 +- 1.199713e+02,1.199621e+02 +- 1.199621e+02,1.199615e+02 +- 1.199615e+02,1.199615e+02 +- 1.199615e+02,1.199553e+02 +- 1.199553e+02,1.199272e+02 +- 1.199272e+02
WFG7,7,1.199422e+02 +- 1.199422e+02,1.199068e+02 +- 1.199068e+02,1.199068e+02 +- 1.199068e+02,1.199330e+02 +- 1.199330e+02,1.199330e+02 +- 1.199330e+02,1.199330e+02 +- 1.199330e+02,1.199330e+02 +- 1.199330e+02,1.199330e+02 +- 1.199330e+02,1.199254e+02 +- 1.199254e+02,1.199252e+02 +- 1.199252e+02,1.199422e+02 +- 1.199422e+02
WFG7,10,,,,,,,,,,,
WFG8,2,2.431916e+01 +- 2.431916e+01,2.430247e+01 +- 2.430247e+01,2.413915e+01 +- 2.413915e+01,2.429499e+01 +- 2.429499e+01,2.423496e+01 +- 2.423496e+01,2.424154e+01 +- 2.424154e+01,2.416231e+01 +- 2.416231e+01,2.438259e+01 +- 2.438259e+01,2.416548e+01 +- 2.416548e+01,2.426114e+01 +- 2.426114e+01,2.413075e+01 +- 2.413075e+01
WFG8,3,1.069821e+02 +- 1.069821e+02,1.066935e+02 +- 1.066935e+02,1.063042e+02 +- 1.063042e+02,1.064949e+02 +- 1.064949e+02,1.072544e+02 +- 1.072544e+02,1.068348e+02 +- 1.068348e+02,1.059297e+02 +- 1.059297e+02,1.066402e+02 +- 1.066402e+02,1.069466e+02 +- 1.069466e+02,1.063807e+02 +- 1.063807e+02,1.067264e+02 +- 1.067264e+02
WFG8,4,1.182219e+02 +- 1.182219e+02,1.184969e+02 +- 1.184969e+02,1.182481e+02 +- 1.182481e+02,1.181756e+02 +- 1.181756e+02,1.184335e+02 +- 1.184335e+02,1.182256e+02 +- 1.182256e+02,1.183450e+02 +- 1.183450e+02,1.182667e+02 +- 1.182667e+02,1.181971e+02 +- 1.181971e+02,1.182394e+02 +- 1.182394e+02,1.181430e+02 +- 1.181430e+02
WFG8,5,1.197379e+02 +- 1.197379e+02,1.193719e+02 +- 1.193719e+02,1.193719e+02 +- 1.193719e+02,1.193719e+02 +- 1.193719e+02,1.194389e+02 +- 1.194389e+02,1.194389e+02 +- 1.194389e+02,1.193774e+02 +- 1.193774e+02,1.192576e+02 +- 1.192576e+02,1.192970e+02 +- 1.192970e+02,1.193475e+02 +- 1.193475e+02,1.194975e+02 +- 1.194975e+02
WFG8,6,1.195781e+02 +- 1.195781e+02,1.194787e+02 +- 1.194787e+02,1.194787e+02 +- 1.194787e+02,1.194787e+02 +- 1.194787e+02,1.194787e+02 +- 1.194787e+02,1.194787e+02 +- 1.194787e+02,1.194701e+02 +- 1.194701e+02,1.195759e+02 +- 1.195759e+02,1.195955e+02 +- 1.195955e+02,1.196153e+02 +- 1.196153e+02,1.195781e+02 +- 1.195781e+02
WFG8,7,1.198048e+02 +- 1.198048e+02,1.197633e+02 +- 1.197633e+02,1.197633e+02 +- 1.197633e+02,1.197633e+02 +- 1.197633e+02,1.197633e+02 +- 1.197633e+02,1.197633e+02 +- 1.197633e+02,1.197490e+02 +- 1.197490e+02,1.197490e+02 +- 1.197490e+02,1.197490e+02 +- 1.197490e+02,1.197724e+02 +- 1.197724e+02,1.197724e+02 +- 1.197724e+02
WFG8,10,,,,,,,,,,,
WFG9,2,2.370223e+01 +- 2.370223e+01,2.374242e+01 +- 2.374242e+01,2.370780e+01 +- 2.370780e+01,2.369629e+01 +- 2.369629e+01,2.370892e+01 +- 2.370892e+01,2.371628e+01 +- 2.371628e+01,2.369488e+01 +- 2.369488e+01,2.369779e+01 +- 2.369779e+01,2.371911e+01 +- 2.371911e+01,2.376651e+01 +- 2.376651e+01,2.371417e+01 +- 2.371417e+01
WFG9,3,1.082384e+02 +- 1.082384e+02,1.080293e+02 +- 1.080293e+02,1.076831e+02 +- 1.076831e+02,1.082819e+02 +- 1.082819e+02,1.078857e+02 +- 1.078857e+02,1.081257e+02 +- 1.081257e+02,1.082520e+02 +- 1.082520e+02,1.077900e+02 +- 1.077900e+02,1.078912e+02 +- 1.078912e+02,1.079293e+02 +- 1.079293e+02,1.083584e+02 +- 1.083584e+02
WFG9,4,1.191528e+02 +- 1.191528e+02,1.190629e+02 +- 1.190629e+02,1.192674e+02 +- 1.192674e+02,1.191673e+02 +- 1.191673e+02,1.193547e+02 +- 1.193547e+02,1.192216e+02 +- 1.192216e+02,1.192384e+02 +- 1.192384e+02,1.193309e+02 +- 1.193309e+02,1.192431e+02 +- 1.192431e+02,1.190984e+02 +- 1.190984e+02,1.191996e+02 +- 1.191996e+02
WFG9,5,1.198292e+02 +- 1.198292e+02,1.198378e+02 +- 1.198378e+02,1.198627e+02 +- 1.198627e+02,1.198434e+02 +- 1.198434e+02,1.198588e+02 +- 1.198588e+02,1.198558e+02 +- 1.198558e+02,1.199017e+02 +- 1.199017e+02,1.198894e+02 +- 1.198894e+02,1.198862e+02 +- 1.198862e+02,1.198628e+02 +- 1.198628e+02,1.198901e+02 +- 1.198901e+02
WFG9,6,1.198067e+02 +- 1.198067e+02,1.199341e+02 +- 1.199341e+02,1.198695e+02 +- 1.198695e+02,1.198682e+02 +- 1.198682e+02,1.198685e+02 +- 1.198685e+02,1.198714e+02 +- 1.198714e+02,1.197811e+02 +- 1.197811e+02,1.197895e+02 +- 1.197895e+02,1.197902e+02 +- 1.197902e+02,1.197763e+02 +- 1.197763e+02,1.198706e+02 +- 1.198706e+02
WFG9,7,1.197871e+02 +- 1.197871e+02,1.197585e+02 +- 1.197585e+02,1.197483e+02 +- 1.197483e+02,1.197540e+02 +- 1.197540e+02,1.197122e+02 +- 1.197122e+02,1.197109e+02 +- 1.197109e+02,1.197139e+02 +- 1.197139e+02,1.197185e+02 +- 1.197185e+02,1.197185e+02 +- 1.197185e+02,1.197201e+02 +- 1.197201e+02,1.197074e+02 +- 1.197074e+02
WFG9,10,,,,,,,,,,,
ZDT1,2,,,,,,,,,,,
ZDT2,2,,,,,,,,,,,
ZDT3,2,,,,,,,,,,,
ZDT4,2,,,,,,,,,,,
ZDT6,2,,,,,,,,,,,
