n_objetivos,problema,indicador,hiperparam_ind_conv,p-value_Friedman,Medias_Distintas
2,DTLZ5,igd+,R2,0.04037830272785661,1
2,DTLZ5,r2,EPS+,8.709672525647198e-35,1
2,DTLZ5,r2,IGD+,0.7143050887803968,0
2,DTLZ5,r2,R2,4.942196504989711e-22,1
2,DTLZ5,s-energy,EPS+,1.0905438527014453e-35,1
2,DTLZ5,s-energy,IGD+,7.040517785503552e-07,1
2,DTLZ5,s-energy,R2,3.182857389451764e-08,1
2,DTLZ5,spd,EPS+,1.5120257549130607e-35,1
2,DTLZ5,spd,IGD+,5.268089103397553e-12,1
2,DTLZ5,spd,R2,9.53305441844599e-23,1
2,DTLZ6,eps+,EPS+,0.0008026431716194885,1
2,DTLZ6,eps+,IGD+,0.0007019905298924663,1
2,DTLZ6,eps+,R2,7.049542519311611e-19,1
2,DTLZ6,hv,EPS+,1.2379442054435104e-22,1
2,DTLZ6,hv,IGD+,9.569607771876676e-17,1
2,DTLZ6,hv,R2,1.7943925982064833e-05,1
2,DTLZ6,igd,EPS+,3.288276917633609e-33,1
2,DTLZ6,igd,IGD+,0.009481064473400566,1
2,DTLZ6,igd,R2,0.0012502741914163598,1
2,DTLZ6,igd+,EPS+,0.0012418292070441796,1
2,DTLZ6,igd+,IGD+,0.3018197378623207,0
2,DTLZ6,igd+,R2,6.246517627364247e-06,1
2,DTLZ6,r2,EPS+,1.750373411391418e-32,1
2,DTLZ6,r2,IGD+,0.05905230545492722,0
2,DTLZ6,r2,R2,2.000824073590093e-14,1
2,DTLZ6,s-energy,EPS+,1.8178725997659094e-36,1
2,DTLZ6,s-energy,IGD+,3.1017131108849075e-14,1
2,DTLZ6,s-energy,R2,7.926531691378794e-09,1
2,DTLZ6,spd,EPS+,9.994744421477733e-34,1
2,DTLZ6,spd,IGD+,9.692241839031994e-24,1
2,DTLZ6,spd,R2,4.398019637654279e-22,1
2,DTLZ7,eps+,EPS+,4.682450505892816e-11,1
2,DTLZ7,eps+,IGD+,0.11307359186574455,0
2,DTLZ7,eps+,R2,7.836298853523786e-07,1
2,DTLZ7,hv,EPS+,3.7132326155775464e-29,1
2,DTLZ7,hv,IGD+,2.3461824840596276e-07,1
2,DTLZ7,hv,R2,0.0012627122525845065,1
2,DTLZ7,igd,EPS+,3.6012554503722196e-27,1
2,DTLZ7,igd,IGD+,0.28021863052857404,0
2,DTLZ7,igd,R2,0.5607915987654991,0
2,DTLZ7,igd+,EPS+,1.066206102888473e-14,1
