n_objetivos,problema,indicador,hiperparam_ind_conv,p-value_Friedman,Medias_Distintas
2,WFG2,hv,R2,0.6120506293633245,0
2,WFG2,igd,IGD+,0.4828978275493988,0
2,WFG2,igd,R2,0.7642456087992052,0
2,WFG2,igd+,IGD+,0.35751800242792553,0
2,WFG2,igd+,R2,0.6022162884437194,0
2,WFG2,r2,IGD+,0.18144760799192386,0
2,WFG2,r2,R2,0.14162138041667013,0
2,WFG2,s-energy,IGD+,0.3646444313050948,0
2,WFG2,s-energy,R2,0.5529275789151552,0
2,WFG2,spd,IGD+,0.535558074584856,0
2,WFG2,spd,R2,0.08874022056347779,0
2,WFG3,eps+,IGD+,0.8656017120910876,0
2,WFG3,eps+,R2,0.8274863897821918,0
2,WFG3,hv,IGD+,0.45821186822779936,0
2,WFG3,hv,R2,0.5391123317210066,0
2,WFG3,igd,IGD+,0.2826301910937099,0
2,WFG3,igd,R2,0.5390658098752173,0
2,WFG3,igd+,IGD+,0.32721480222856064,0
2,WFG3,igd+,R2,0.5608485178728014,0
2,WFG3,r2,IGD+,0.6784283211363324,0
2,WFG3,r2,R2,0.5183939450614333,0
2,WFG3,s-energy,IGD+,0.5303789284214753,0
2,WFG3,s-energy,R2,0.7880077126094068,0
2,WFG3,spd,IGD+,0.5321035763747151,0
2,WFG3,spd,R2,0.09647448961787673,0
2,WFG4,eps+,IGD+,6.871941225931651e-10,1
2,WFG4,eps+,R2,0.12359704997610782,0
2,WFG4,hv,IGD+,0.0003555981537931496,1
2,WFG4,hv,R2,0.2986647867616229,0
2,WFG4,igd,IGD+,0.05025025388100221,0
2,WFG4,igd,R2,0.11694413141228194,0
2,WFG4,igd+,IGD+,3.185734912466419e-07,1
2,WFG4,igd+,R2,0.13406317632155884,0
2,WFG4,r2,IGD+,0.15175390907620906,0
2,WFG4,r2,R2,0.3518800313680232,0
2,WFG4,s-energy,IGD+,0.31793872200602924,0
2,WFG4,s-energy,R2,0.02840447181862338,1
2,WFG4,spd,IGD+,0.0310200484789453,1
2,WFG4,spd,R2,0.4357209332113906,0
2,WFG5,eps+,IGD+,0.4121763693211579,0
2,WFG5,eps+,R2,0.898370869390782,0
