n_objetivos,problema,indicador,hiperparam_ind_conv,,0.001,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.999
2,DTLZ1,eps+,R2,0.7,9.999762e-01,9.990072e-01,9.986439e-01,9.975700e-01,8.350086e-01,8.772564e-01,9.175215e-01,nan,7.509956e-01,9.998951e-01,9.999685e-01
2,DTLZ1,eps+,R2,0.8,9.998388e-01,9.998951e-01,9.963522e-01,9.981728e-01,8.058119e-01,6.494093e-01,8.441029e-01,2.608366e-01,nan,9.999475e-01,9.999819e-01
2,DTLZ1,eps+,R2,0.9,8.058119e-01,2.045488e-01,4.484749e-02,4.127502e-02,4.253387e-04,9.536743e-06,1.611710e-04,1.306534e-04,6.675720e-05,nan,4.636393e-01
2,DTLZ1,eps+,R2,0.999,7.509956e-01,2.979097e-01,9.467411e-02,6.636333e-02,8.392334e-05,2.412796e-04,1.356125e-03,4.100800e-05,2.384186e-05,5.508413e-01,nan
2,DTLZ1,hv,EPS+,0.001,nan,6.219168e-01,8.158617e-01,7.847834e-01,8.058119e-01,5.938225e-01,8.772564e-01,7.509956e-01,6.628885e-01,6.628885e-01,7.391634e-01
2,DTLZ1,hv,EPS+,0.1,3.920631e-01,nan,7.954512e-01,8.255949e-01,6.892433e-01,5.363607e-01,9.175215e-01,6.079369e-01,6.357470e-01,6.628885e-01,6.494093e-01
2,DTLZ1,hv,EPS+,0.2,1.941881e-01,2.152166e-01,nan,1.471262e-01,2.979097e-01,1.744051e-01,5.508413e-01,1.941881e-01,2.608366e-01,2.045488e-01,3.107567e-01
2,DTLZ1,hv,EPS+,0.3,2.261877e-01,1.841383e-01,8.613224e-01,nan,6.079369e-01,3.107567e-01,9.513464e-01,2.490044e-01,4.347439e-01,6.628885e-01,6.219168e-01
2,DTLZ1,hv,EPS+,0.4,2.045488e-01,3.238277e-01,7.147017e-01,4.061775e-01,nan,4.204111e-01,7.738123e-01,1.744051e-01,7.391634e-01,4.061775e-01,5.795889e-01
2,DTLZ1,hv,EPS+,0.5,4.204111e-01,4.781647e-01,8.350086e-01,7.020903e-01,5.938225e-01,nan,8.158617e-01,7.147017e-01,6.494093e-01,6.892433e-01,4.636393e-01
2,DTLZ1,hv,EPS+,0.6,1.305494e-01,8.842659e-02,4.636393e-01,5.269909e-02,2.374525e-01,1.941881e-01,nan,2.152166e-01,1.227436e-01,2.979097e-01,3.107567e-01
2,DTLZ1,hv,EPS+,0.7,2.608366e-01,4.061775e-01,8.158617e-01,7.625475e-01,8.350086e-01,2.979097e-01,7.954512e-01,nan,6.357470e-01,6.357470e-01,7.738123e-01
2,DTLZ1,hv,EPS+,0.8,3.505907e-01,3.780832e-01,7.509956e-01,5.795889e-01,2.729378e-01,3.642530e-01,8.847437e-01,3.780832e-01,nan,3.780832e-01,5.218353e-01
2,DTLZ1,hv,EPS+,0.9,3.505907e-01,3.505907e-01,8.058119e-01,3.505907e-01,6.079369e-01,3.238277e-01,7.147017e-01,3.780832e-01,6.357470e-01,nan,4.927177e-01
