problema,indicador,w0,dimension,run,valor
DTLZ7,igd+,w_00,4,1,0.05357316
DTLZ7,igd+,w_00,4,2,0.05582779
DTLZ7,igd+,w_00,4,3,0.05602734
DTLZ7,igd+,w_00,4,4,0.05512121
DTLZ7,igd+,w_00,4,5,0.05720329
DTLZ7,igd+,w_00,4,6,0.05770828
DTLZ7,igd+,w_00,4,7,0.05468437
DTLZ7,igd+,w_00,4,8,0.05896502
DTLZ7,igd+,w_00,4,9,0.05525141
DTLZ7,igd+,w_00,4,10,0.05502921
DTLZ7,igd+,w_00,4,11,0.05517937
DTLZ7,igd+,w_00,4,12,0.0571204
DTLZ7,igd+,w_00,4,13,0.05970589
DTLZ7,igd+,w_00,4,14,0.05780193
DTLZ7,igd+,w_00,4,15,0.05309137
DTLZ7,igd+,w_00,4,16,0.05434835
DTLZ7,igd+,w_00,4,17,0.05669321
DTLZ7,igd+,w_00,4,18,0.05682897
DTLZ7,igd+,w_00,4,19,0.05853152
WFG3,eps+,w_00,2,0,0.019237
WFG3,eps+,w_00,2,1,0.0136292
WFG3,eps+,w_00,2,2,0.015164
WFG3,eps+,w_00,2,3,0.01598
WFG3,eps+,w_00,2,4,0.013212
WFG3,eps+,w_00,2,5,0.01376
WFG3,eps+,w_00,2,6,0.017698
WFG3,eps+,w_00,2,7,0.016276
WFG3,eps+,w_00,2,8,0.022636
WFG3,eps+,w_00,2,9,0.011271
WFG3,eps+,w_00,2,10,0.013104
WFG3,eps+,w_00,2,11,0.0155899
WFG3,eps+,w_00,2,12,0.021261
WFG3,eps+,w_00,2,13,0.016324
WFG3,eps+,w_00,2,14,0.015622
WFG3,eps+,w_00,2,15,0.0183428
WFG3,eps+,w_00,2,16,0.013004
WFG3,eps+,w_00,2,17,0.01567
WFG3,eps+,w_00,2,18,0.0116952
WFG3,eps+,w_00,2,19,0.013108
DTLZ5,hv,w_00,7,0,65.8774
DTLZ5,hv,w_00,7,1,62.91118
DTLZ5,hv,w_00,7,2,64.52842
DTLZ5,hv,w_00,7,3,63.79641
DTLZ5,hv,w_00,7,4,59.82691
DTLZ5,hv,w_00,7,5,69.39367
DTLZ5,hv,w_00,7,6,59.13591
DTLZ5,hv,w_00,7,7,44.15694
DTLZ5,hv,w_00,7,8,72.97105
DTLZ5,hv,w_00,7,9,69.87973
DTLZ5,hv,w_00,7,10,64.65063
DTLZ5,hv,w_00,7,11,55.37524
DTLZ5,hv,w_00,7,12,75.41457
DTLZ5,hv,w_00,7,13,65.4837
DTLZ5,hv,w_00,7,14,51.99121
DTLZ5,hv,w_00,7,15,52.67002
