problema,indicador,w0,dimension,run,valor
DTLZ2,eps+,w_00,10,8,2.121996e-313
DTLZ2,eps+,w_00,10,9,2.121996e-313
DTLZ6,s-energy,w_00,2,0,2261971.0
DTLZ6,s-energy,w_00,2,1,2270215.0
DTLZ6,s-energy,w_00,2,2,2271449.0
DTLZ6,s-energy,w_00,2,3,2254534.0
DTLZ6,s-energy,w_00,2,4,2248461.0
DTLZ6,s-energy,w_00,2,5,2271674.0
DTLZ6,s-energy,w_00,2,6,2266262.0
DTLZ6,s-energy,w_00,2,7,2263149.0
DTLZ6,s-energy,w_00,2,8,2267711.0
DTLZ6,s-energy,w_00,2,9,2321785.0
DTLZ7,r2,w_00,2,0,1443.13
DTLZ7,r2,w_00,2,1,1443.16
DTLZ7,r2,w_00,2,2,1443.153
DTLZ7,r2,w_00,2,3,1443.124
DTLZ7,r2,w_00,2,4,1443.244
DTLZ7,r2,w_00,2,5,1443.169
DTLZ7,r2,w_00,2,6,1443.188
DTLZ7,r2,w_00,2,7,1443.14
DTLZ7,r2,w_00,2,8,1443.163
DTLZ7,r2,w_00,2,9,1443.164
ZDT6,spd,w_00,2,0,6.910349
ZDT6,spd,w_00,2,1,6.909843
ZDT6,spd,w_00,2,2,6.909899
ZDT6,spd,w_00,2,3,6.910198
ZDT6,spd,w_00,2,4,6.910294
ZDT6,spd,w_00,2,5,6.91072
ZDT6,spd,w_00,2,6,6.910106
ZDT6,spd,w_00,2,7,6.910276
ZDT6,spd,w_00,2,8,6.909998
ZDT6,spd,w_00,2,9,6.909891
DTLZ3,r2,w_00,2,0,1.008131
DTLZ3,r2,w_00,2,1,1.00565
DTLZ3,r2,w_00,2,2,1.011687
DTLZ3,r2,w_00,2,3,1.00294
DTLZ3,r2,w_00,2,4,1.004813
DTLZ3,r2,w_00,2,5,1.016512
DTLZ3,r2,w_00,2,6,1.023263
DTLZ3,r2,w_00,2,7,1.017287
DTLZ3,r2,w_00,2,8,1.003646
DTLZ3,r2,w_00,2,9,1.004589
WFG4,spd,w_00,6,0,119.9999
WFG4,spd,w_00,6,1,119.9998
WFG4,spd,w_00,6,2,119.9998
WFG4,spd,w_00,6,3,119.9995
WFG4,spd,w_00,6,4,119.9998
WFG4,spd,w_00,6,5,119.9999
WFG4,spd,w_00,6,6,119.9998
WFG4,spd,w_00,6,7,119.9995
WFG4,spd,w_00,6,8,119.9996
WFG4,spd,w_00,6,9,119.9998
WFG4,hv,w_00,7,0,1755837.0
WFG4,hv,w_00,7,1,1742526.0
WFG4,hv,w_00,7,2,1722838.0
WFG4,hv,w_00,7,3,1733011.0
WFG4,hv,w_00,7,4,1742185.0
WFG4,hv,w_00,7,5,1705181.0
WFG4,hv,w_00,7,6,1750031.0
WFG4,hv,w_00,7,7,1730378.0
WFG4,hv,w_00,7,8,1726655.0
WFG4,hv,w_00,7,9,1733718.0
WFG1,igd+,w_00,2,0,0.8838674
WFG1,igd+,w_00,2,1,0.8879873
WFG1,igd+,w_00,2,2,0.8963825
WFG1,igd+,w_00,2,3,0.8883441
WFG1,igd+,w_00,2,4,0.8919035
WFG1,igd+,w_00,2,5,0.8909832
WFG1,igd+,w_00,2,6,0.9084152
WFG1,igd+,w_00,2,7,0.9159238
WFG1,igd+,w_00,2,8,0.8909208
WFG1,igd+,w_00,2,9,0.9210664
DTLZ5,hv,w_00,4,0,11.68007
DTLZ5,hv,w_00,4,1,11.67345
DTLZ5,hv,w_00,4,2,11.78706
DTLZ5,hv,w_00,4,3,11.76721
DTLZ5,hv,w_00,4,4,11.72389
DTLZ5,hv,w_00,4,5,11.69492
DTLZ5,hv,w_00,4,6,11.78175
DTLZ5,hv,w_00,4,7,11.74092
DTLZ5,hv,w_00,4,8,11.67303
DTLZ5,hv,w_00,4,9,11.65987
WFG7,r2,w_00,3,0,6.506291
WFG7,r2,w_00,3,1,6.301983
WFG7,r2,w_00,3,2,6.597009
WFG7,r2,w_00,3,3,7.069616
WFG7,r2,w_00,3,4,6.685104
WFG7,r2,w_00,3,5,6.103988
WFG7,r2,w_00,3,6,7.005794
WFG7,r2,w_00,3,7,7.054764
WFG7,r2,w_00,3,8,6.662598
WFG7,r2,w_00,3,9,7.062209
DTLZ3,hv,w_00,10,0,0.0
DTLZ3,hv,w_00,10,1,0.0
DTLZ3,hv,w_00,10,2,0.0
DTLZ3,hv,w_00,10,3,0.0
DTLZ3,hv,w_00,10,4,0.0
DTLZ3,hv,w_00,10,5,0.0
DTLZ3,hv,w_00,10,6,0.0
DTLZ3,hv,w_00,10,7,0.0
DTLZ3,hv,w_00,10,8,0.0
DTLZ3,hv,w_00,10,9,0.0
DTLZ7,spd,w_00,6,0,118.8543
DTLZ7,spd,w_00,6,1,118.8773
DTLZ7,spd,w_00,6,2,118.852
DTLZ7,spd,w_00,6,3,118.8555
DTLZ7,spd,w_00,6,4,118.9041
DTLZ7,spd,w_00,6,5,118.7419
DTLZ7,spd,w_00,6,6,118.9302
DTLZ7,spd,w_00,6,7,118.7115
DTLZ7,spd,w_00,6,8,118.9365
DTLZ7,spd,w_00,6,9,118.9574
DTLZ5,r2,w_00,7,0,1439.428
DTLZ5,r2,w_00,7,1,1409.941
DTLZ5,r2,w_00,7,2,1612.006
DTLZ5,r2,w_00,7,3,991.1523
DTLZ5,r2,w_00,7,4,1300.683
DTLZ5,r2,w_00,7,5,1097.758
DTLZ5,r2,w_00,7,6,1359.034
DTLZ5,r2,w_00,7,7,1026.332
DTLZ5,r2,w_00,7,8,969.9343
DTLZ5,r2,w_00,7,9,1449.197
WFG8,igd,w_00,3,0,0.2357375
WFG8,igd,w_00,3,1,0.2243769
WFG8,igd,w_00,3,2,0.2307552
WFG8,igd,w_00,3,3,0.229754
WFG8,igd,w_00,3,4,0.2258635
WFG8,igd,w_00,3,5,0.2280458
WFG8,igd,w_00,3,6,0.2259657
WFG8,igd,w_00,3,7,0.2259171
WFG8,igd,w_00,3,8,0.2355299
WFG8,igd,w_00,3,9,0.231984
DTLZ2,eps+,w_00,2,0,0.0048991
DTLZ2,eps+,w_00,2,1,0.0049555
DTLZ2,eps+,w_00,2,2,0.0084121
DTLZ2,eps+,w_00,2,3,0.0045166
DTLZ2,eps+,w_00,2,4,0.005572
DTLZ2,eps+,w_00,2,5,0.0049337
DTLZ2,eps+,w_00,2,6,0.0052207
DTLZ2,eps+,w_00,2,7,0.0058802
DTLZ2,eps+,w_00,2,8,0.0052354
DTLZ2,eps+,w_00,2,9,0.0059322
ZDT3,spd,w_00,2,0,11.68527
ZDT3,spd,w_00,2,1,11.68831
ZDT3,spd,w_00,2,2,11.68646
ZDT3,spd,w_00,2,3,11.67535
ZDT3,spd,w_00,2,4,11.68401
ZDT3,spd,w_00,2,5,11.68699
ZDT3,spd,w_00,2,6,11.67494
ZDT3,spd,w_00,2,7,11.6811
ZDT3,spd,w_00,2,8,11.68843
ZDT3,spd,w_00,2,9,11.6738
DTLZ5,r2,w_00,10,0,-nan 
DTLZ5,r2,w_00,10,1,-nan 
DTLZ5,r2,w_00,10,2,-nan 
DTLZ5,r2,w_00,10,3,-nan 
DTLZ5,r2,w_00,10,4,-nan 
DTLZ5,r2,w_00,10,5,-nan 
DTLZ5,r2,w_00,10,6,-nan 
DTLZ5,r2,w_00,10,7,-nan 
DTLZ5,r2,w_00,10,8,-nan 
DTLZ5,r2,w_00,10,9,-nan 
WFG4,hv,w_00,3,0,75.55731
WFG4,hv,w_00,3,1,75.91453
WFG4,hv,w_00,3,2,75.62941
WFG4,hv,w_00,3,3,76.00954
WFG4,hv,w_00,3,4,75.7917
WFG4,hv,w_00,3,5,75.97772
WFG4,hv,w_00,3,6,75.88235
WFG4,hv,w_00,3,7,75.87837
WFG4,hv,w_00,3,8,75.89706
WFG4,hv,w_00,3,9,75.75124
DTLZ5,spd,w_00,7,0,119.9978
DTLZ5,spd,w_00,7,1,119.9975
DTLZ5,spd,w_00,7,2,119.9984
DTLZ5,spd,w_00,7,3,119.9925
DTLZ5,spd,w_00,7,4,119.9911
DTLZ5,spd,w_00,7,5,119.9521
DTLZ5,spd,w_00,7,6,119.9954
DTLZ5,spd,w_00,7,7,119.9974
DTLZ5,spd,w_00,7,8,45.22912
DTLZ5,spd,w_00,7,9,119.9975
WFG4,spd,w_00,5,0,119.9887
WFG4,spd,w_00,5,1,119.9917
WFG4,spd,w_00,5,2,119.9917
WFG4,spd,w_00,5,3,119.9888
WFG4,spd,w_00,5,4,119.9868
WFG4,spd,w_00,5,5,119.9922
WFG4,spd,w_00,5,6,119.9939
WFG4,spd,w_00,5,7,119.9951
WFG4,spd,w_00,5,8,119.9934
WFG4,spd,w_00,5,9,119.9923
WFG7,igd,w_00,3,0,0.2132203
WFG7,igd,w_00,3,1,0.2143309
WFG7,igd,w_00,3,2,0.2191244
WFG7,igd,w_00,3,3,0.2126719
WFG7,igd,w_00,3,4,0.2229605
WFG7,igd,w_00,3,5,0.2114141
WFG7,igd,w_00,3,6,0.2222441
WFG7,igd,w_00,3,7,0.2138155
WFG7,igd,w_00,3,8,0.2173862
WFG7,igd,w_00,3,9,0.2163223
DTLZ3,s-energy,w_00,6,0,187620.7
DTLZ3,s-energy,w_00,6,1,47163470.0
DTLZ3,s-energy,w_00,6,2,60515.38
DTLZ3,s-energy,w_00,6,3,29341280.0
DTLZ3,s-energy,w_00,6,4,104709.1
DTLZ3,s-energy,w_00,6,5,1.867201e+29
DTLZ3,s-energy,w_00,6,6,54402.0
DTLZ3,s-energy,w_00,6,7,371551000.0
DTLZ3,s-energy,w_00,6,8,2.042515e+24
DTLZ3,s-energy,w_00,6,9,8.251739e+24
WFG6,igd,w_00,5,0,1.75612
WFG6,igd,w_00,5,1,1.73486
WFG6,igd,w_00,5,2,1.765192
WFG6,igd,w_00,5,3,1.775843
WFG6,igd,w_00,5,4,1.755594
WFG6,igd,w_00,5,5,1.737707
WFG6,igd,w_00,5,6,1.748591
