hiperparam_ind_conv,problema,n_objetivos,indicador,Medias_Distintas
R2,DTLZ3,5,igd+,0.0
IGD+,DTLZ3,5,r2,0.0
R2,DTLZ3,5,r2,0.0
IGD+,DTLZ3,5,s-energy,1.0
R2,DTLZ3,5,s-energy,1.0
IGD+,DTLZ3,5,spd,1.0
R2,DTLZ3,5,spd,0.0
IGD+,DTLZ4,5,eps+,0.0
R2,DTLZ4,5,eps+,0.0
IGD+,DTLZ4,5,hv,0.0
R2,DTLZ4,5,hv,0.0
IGD+,DTLZ4,5,igd,0.0
R2,DTLZ4,5,igd,0.0
IGD+,DTLZ4,5,igd+,0.0
R2,DTLZ4,5,igd+,0.0
IGD+,DTLZ4,5,r2,0.0
R2,DTLZ4,5,r2,0.0
IGD+,DTLZ4,5,s-energy,0.0
R2,DTLZ4,5,s-energy,0.0
IGD+,DTLZ4,5,spd,0.0
R2,DTLZ4,5,spd,0.0
IGD+,DTLZ5,5,eps+,0.0
R2,DTLZ5,5,eps+,0.0
IGD+,DTLZ5,5,hv,0.0
R2,DTLZ5,5,hv,0.0
IGD+,DTLZ5,5,igd,0.0
R2,DTLZ5,5,igd,0.0
IGD+,DTLZ5,5,igd+,1.0
R2,DTLZ5,5,igd+,0.0
IGD+,DTLZ5,5,r2,0.0
R2,DTLZ5,5,r2,0.0
IGD+,DTLZ5,5,s-energy,0.0
R2,DTLZ5,5,s-energy,0.0
IGD+,DTLZ5,5,spd,0.0
R2,DTLZ5,5,spd,0.0
IGD+,DTLZ6,5,eps+,1.0
R2,DTLZ6,5,eps+,0.0
IGD+,DTLZ6,5,hv,1.0
R2,DTLZ6,5,hv,0.0
IGD+,DTLZ6,5,igd,1.0
R2,DTLZ6,5,igd,0.0
IGD+,DTLZ6,5,igd+,1.0
R2,DTLZ6,5,igd+,0.0
IGD+,DTLZ6,5,r2,1.0
R2,DTLZ6,5,r2,0.0
IGD+,DTLZ6,5,s-energy,1.0
R2,DTLZ6,5,s-energy,0.0
IGD+,DTLZ6,5,spd,1.0
R2,DTLZ6,5,spd,0.0
IGD+,DTLZ7,5,eps+,1.0
R2,DTLZ7,5,eps+,0.0
IGD+,DTLZ7,5,hv,1.0
R2,DTLZ7,5,hv,0.0
IGD+,DTLZ7,5,igd,1.0
R2,DTLZ7,5,igd,0.0
IGD+,DTLZ7,5,igd+,1.0
R2,DTLZ7,5,igd+,0.0
IGD+,DTLZ7,5,r2,1.0
R2,DTLZ7,5,r2,0.0
IGD+,DTLZ7,5,s-energy,1.0
R2,DTLZ7,5,s-energy,0.0
IGD+,DTLZ7,5,spd,1.0
R2,DTLZ7,5,spd,0.0
IGD+,WFG1,5,eps+,0.0
R2,WFG1,5,eps+,0.0
IGD+,WFG1,5,hv,0.0
R2,WFG1,5,hv,0.0
IGD+,WFG1,5,igd,0.0
R2,WFG1,5,igd,0.0
IGD+,WFG1,5,igd+,0.0
R2,WFG1,5,igd+,0.0
IGD+,WFG1,5,r2,0.0
R2,WFG1,5,r2,0.0
IGD+,WFG1,5,s-energy,0.0
R2,WFG1,5,s-energy,0.0
IGD+,WFG1,5,spd,0.0
R2,WFG1,5,spd,0.0
IGD+,WFG2,5,eps+,0.0
R2,WFG2,5,eps+,1.0
IGD+,WFG2,5,hv,0.0
R2,WFG2,5,hv,0.0
IGD+,WFG2,5,igd,0.0
R2,WFG2,5,igd,0.0
IGD+,WFG2,5,igd+,0.0
R2,WFG2,5,igd+,0.0
IGD+,WFG2,5,r2,0.0
R2,WFG2,5,r2,0.0
IGD+,WFG2,5,s-energy,0.0
R2,WFG2,5,s-energy,0.0
IGD+,WFG2,5,spd,0.0
R2,WFG2,5,spd,0.0
IGD+,WFG3,5,eps+,0.0
R2,WFG3,5,eps+,0.0
IGD+,WFG3,5,hv,0.0
R2,WFG3,5,hv,0.0
IGD+,WFG3,5,igd,0.0
R2,WFG3,5,igd,0.0
IGD+,WFG3,5,igd+,1.0
R2,WFG3,5,igd+,0.0
IGD+,WFG3,5,r2,0.0
R2,WFG3,5,r2,0.0
IGD+,WFG3,5,s-energy,0.0
R2,WFG3,5,s-energy,0.0
IGD+,WFG3,5,spd,0.0
R2,WFG3,5,spd,0.0
IGD+,WFG4,5,eps+,0.0
R2,WFG4,5,eps+,0.0
IGD+,WFG4,5,hv,1.0
R2,WFG4,5,hv,0.0
IGD+,WFG4,5,igd,0.0
R2,WFG4,5,igd,0.0
IGD+,WFG4,5,igd+,1.0
R2,WFG4,5,igd+,0.0
IGD+,WFG4,5,r2,0.0
R2,WFG4,5,r2,0.0
IGD+,WFG4,5,s-energy,1.0
R2,WFG4,5,s-energy,0.0
IGD+,WFG4,5,spd,0.0
R2,WFG4,5,spd,0.0
IGD+,WFG5,5,eps+,0.0
R2,WFG5,5,eps+,0.0
IGD+,WFG5,5,hv,1.0
R2,WFG5,5,hv,0.0
IGD+,WFG5,5,igd,0.0
R2,WFG5,5,igd,0.0
IGD+,WFG5,5,igd+,1.0
R2,WFG5,5,igd+,0.0
IGD+,WFG5,5,r2,0.0
R2,WFG5,5,r2,0.0
IGD+,WFG5,5,s-energy,0.0
R2,WFG5,5,s-energy,0.0
IGD+,WFG5,5,spd,0.0
R2,WFG5,5,spd,0.0
IGD+,WFG6,5,eps+,0.0
R2,WFG6,5,eps+,0.0
IGD+,WFG6,5,hv,1.0
R2,WFG6,5,hv,0.0
IGD+,WFG6,5,igd,0.0
R2,WFG6,5,igd,0.0
IGD+,WFG6,5,igd+,1.0
R2,WFG6,5,igd+,0.0
IGD+,WFG6,5,r2,1.0
R2,WFG6,5,r2,0.0
IGD+,WFG6,5,s-energy,0.0
R2,WFG6,5,s-energy,0.0
IGD+,WFG6,5,spd,0.0
R2,WFG6,5,spd,0.0
IGD+,WFG7,5,eps+,1.0
R2,WFG7,5,eps+,0.0
IGD+,WFG7,5,hv,1.0
R2,WFG7,5,hv,0.0
IGD+,WFG7,5,igd,0.0
R2,WFG7,5,igd,0.0
IGD+,WFG7,5,igd+,1.0
R2,WFG7,5,igd+,0.0
IGD+,WFG7,5,r2,0.0
R2,WFG7,5,r2,0.0
IGD+,WFG7,5,s-energy,1.0
R2,WFG7,5,s-energy,0.0
IGD+,WFG7,5,spd,1.0
R2,WFG7,5,spd,0.0
IGD+,WFG8,5,eps+,1.0
R2,WFG8,5,eps+,0.0
IGD+,WFG8,5,hv,1.0
R2,WFG8,5,hv,0.0
IGD+,WFG8,5,igd,0.0
R2,WFG8,5,igd,0.0
IGD+,WFG8,5,igd+,0.0
R2,WFG8,5,igd+,0.0
IGD+,WFG8,5,r2,0.0
R2,WFG8,5,r2,0.0
IGD+,WFG8,5,s-energy,1.0
R2,WFG8,5,s-energy,0.0
IGD+,WFG8,5,spd,1.0
R2,WFG8,5,spd,0.0
IGD+,WFG9,5,eps+,1.0
R2,WFG9,5,eps+,0.0
IGD+,WFG9,5,hv,1.0
R2,WFG9,5,hv,0.0
IGD+,WFG9,5,igd,0.0
R2,WFG9,5,igd,0.0
IGD+,WFG9,5,igd+,1.0
R2,WFG9,5,igd+,0.0
IGD+,WFG9,5,r2,0.0
R2,WFG9,5,r2,0.0
IGD+,WFG9,5,s-energy,0.0
R2,WFG9,5,s-energy,0.0
IGD+,WFG9,5,spd,0.0
R2,WFG9,5,spd,0.0
IGD+,DTLZ1,6,eps+,0.0
R2,DTLZ1,6,eps+,1.0
IGD+,DTLZ1,6,hv,0.0
R2,DTLZ1,6,hv,0.0
IGD+,DTLZ1,6,igd,1.0
R2,DTLZ1,6,igd,1.0
IGD+,DTLZ1,6,igd+,1.0
R2,DTLZ1,6,igd+,1.0
IGD+,DTLZ1,6,r2,0.0
R2,DTLZ1,6,r2,1.0
IGD+,DTLZ1,6,s-energy,1.0
R2,DTLZ1,6,s-energy,0.0
IGD+,DTLZ1,6,spd,1.0
R2,DTLZ1,6,spd,0.0
IGD+,DTLZ2,6,eps+,1.0
R2,DTLZ2,6,eps+,0.0
IGD+,DTLZ2,6,hv,1.0
R2,DTLZ2,6,hv,0.0
IGD+,DTLZ2,6,igd,1.0
R2,DTLZ2,6,igd,0.0
IGD+,DTLZ2,6,igd+,1.0
R2,DTLZ2,6,igd+,0.0
IGD+,DTLZ2,6,r2,1.0
R2,DTLZ2,6,r2,0.0
IGD+,DTLZ2,6,s-energy,1.0
R2,DTLZ2,6,s-energy,0.0
IGD+,DTLZ2,6,spd,1.0
R2,DTLZ2,6,spd,0.0
IGD+,DTLZ3,6,eps+,0.0
R2,DTLZ3,6,eps+,0.0
IGD+,DTLZ3,6,hv,0.0
R2,DTLZ3,6,hv,0.0
IGD+,DTLZ3,6,igd,0.0
R2,DTLZ3,6,igd,0.0
IGD+,DTLZ3,6,igd+,0.0
R2,DTLZ3,6,igd+,0.0
IGD+,DTLZ3,6,r2,0.0
R2,DTLZ3,6,r2,0.0
IGD+,DTLZ3,6,s-energy,0.0
R2,DTLZ3,6,s-energy,0.0
IGD+,DTLZ3,6,spd,0.0
R2,DTLZ3,6,spd,0.0
IGD+,DTLZ4,6,eps+,0.0
R2,DTLZ4,6,eps+,0.0
IGD+,DTLZ4,6,hv,0.0
R2,DTLZ4,6,hv,0.0
IGD+,DTLZ4,6,igd,0.0
R2,DTLZ4,6,igd,0.0
IGD+,DTLZ4,6,igd+,0.0
R2,DTLZ4,6,igd+,0.0
IGD+,DTLZ4,6,r2,0.0
R2,DTLZ4,6,r2,0.0
IGD+,DTLZ4,6,s-energy,0.0
R2,DTLZ4,6,s-energy,0.0
IGD+,DTLZ4,6,spd,0.0
R2,DTLZ4,6,spd,0.0
IGD+,DTLZ5,6,eps+,0.0
R2,DTLZ5,6,eps+,0.0
IGD+,DTLZ5,6,hv,1.0
R2,DTLZ5,6,hv,0.0
IGD+,DTLZ5,6,igd,0.0
R2,DTLZ5,6,igd,0.0
IGD+,DTLZ5,6,igd+,0.0
R2,DTLZ5,6,igd+,0.0
IGD+,DTLZ5,6,r2,0.0
R2,DTLZ5,6,r2,0.0
IGD+,DTLZ5,6,s-energy,0.0
R2,DTLZ5,6,s-energy,0.0
IGD+,DTLZ5,6,spd,0.0
R2,DTLZ5,6,spd,0.0
IGD+,DTLZ6,6,eps+,1.0
R2,DTLZ6,6,eps+,0.0
IGD+,DTLZ6,6,hv,0.0
R2,DTLZ6,6,hv,0.0
IGD+,DTLZ6,6,igd,1.0
R2,DTLZ6,6,igd,0.0
IGD+,DTLZ6,6,igd+,1.0
R2,DTLZ6,6,igd+,0.0
IGD+,DTLZ6,6,r2,1.0
R2,DTLZ6,6,r2,0.0
IGD+,DTLZ6,6,s-energy,1.0
R2,DTLZ6,6,s-energy,0.0
IGD+,DTLZ6,6,spd,0.0
R2,DTLZ6,6,spd,0.0
IGD+,DTLZ7,6,eps+,1.0
R2,DTLZ7,6,eps+,0.0
IGD+,DTLZ7,6,hv,1.0
R2,DTLZ7,6,hv,0.0
IGD+,DTLZ7,6,igd,1.0
R2,DTLZ7,6,igd,0.0
IGD+,DTLZ7,6,igd+,1.0
R2,DTLZ7,6,igd+,0.0
IGD+,DTLZ7,6,r2,1.0
R2,DTLZ7,6,r2,0.0
IGD+,DTLZ7,6,s-energy,1.0
R2,DTLZ7,6,s-energy,0.0
IGD+,DTLZ7,6,spd,1.0
R2,DTLZ7,6,spd,0.0
IGD+,WFG1,6,eps+,0.0
R2,WFG1,6,eps+,0.0
IGD+,WFG1,6,hv,0.0
R2,WFG1,6,hv,0.0
IGD+,WFG1,6,igd,0.0
R2,WFG1,6,igd,0.0
IGD+,WFG1,6,igd+,0.0
R2,WFG1,6,igd+,0.0
IGD+,WFG1,6,r2,0.0
R2,WFG1,6,r2,0.0
IGD+,WFG1,6,s-energy,0.0
R2,WFG1,6,s-energy,0.0
IGD+,WFG1,6,spd,0.0
R2,WFG1,6,spd,0.0
IGD+,WFG2,6,eps+,0.0
R2,WFG2,6,eps+,0.0
IGD+,WFG2,6,hv,0.0
R2,WFG2,6,hv,0.0
IGD+,WFG2,6,igd,0.0
R2,WFG2,6,igd,0.0
IGD+,WFG2,6,igd+,0.0
R2,WFG2,6,igd+,0.0
IGD+,WFG2,6,r2,0.0
R2,WFG2,6,r2,0.0
IGD+,WFG2,6,s-energy,0.0
R2,WFG2,6,s-energy,0.0
IGD+,WFG2,6,spd,0.0
R2,WFG2,6,spd,0.0
IGD+,WFG3,6,eps+,0.0
R2,WFG3,6,eps+,0.0
IGD+,WFG3,6,hv,0.0
R2,WFG3,6,hv,0.0
IGD+,WFG3,6,igd,0.0
R2,WFG3,6,igd,0.0
IGD+,WFG3,6,igd+,1.0
R2,WFG3,6,igd+,0.0
IGD+,WFG3,6,r2,0.0
R2,WFG3,6,r2,0.0
IGD+,WFG3,6,s-energy,0.0
R2,WFG3,6,s-energy,0.0
IGD+,WFG3,6,spd,0.0
R2,WFG3,6,spd,0.0
IGD+,WFG4,6,eps+,0.0
R2,WFG4,6,eps+,0.0
IGD+,WFG4,6,hv,1.0
R2,WFG4,6,hv,0.0
IGD+,WFG4,6,igd,1.0
R2,WFG4,6,igd,0.0
IGD+,WFG4,6,igd+,1.0
R2,WFG4,6,igd+,0.0
IGD+,WFG4,6,r2,0.0
R2,WFG4,6,r2,0.0
IGD+,WFG4,6,s-energy,0.0
R2,WFG4,6,s-energy,0.0
IGD+,WFG4,6,spd,0.0
R2,WFG4,6,spd,0.0
IGD+,WFG5,6,eps+,1.0
R2,WFG5,6,eps+,0.0
IGD+,WFG5,6,hv,1.0
R2,WFG5,6,hv,0.0
IGD+,WFG5,6,igd,1.0
R2,WFG5,6,igd,0.0
IGD+,WFG5,6,igd+,1.0
R2,WFG5,6,igd+,0.0
IGD+,WFG5,6,r2,0.0
R2,WFG5,6,r2,0.0
IGD+,WFG5,6,s-energy,1.0
R2,WFG5,6,s-energy,0.0
IGD+,WFG5,6,spd,1.0
R2,WFG5,6,spd,0.0
IGD+,WFG6,6,eps+,1.0
R2,WFG6,6,eps+,0.0
IGD+,WFG6,6,hv,0.0
R2,WFG6,6,hv,0.0
IGD+,WFG6,6,igd,1.0
R2,WFG6,6,igd,0.0
IGD+,WFG6,6,igd+,1.0
R2,WFG6,6,igd+,0.0
IGD+,WFG6,6,r2,1.0
R2,WFG6,6,r2,0.0
IGD+,WFG6,6,s-energy,1.0
R2,WFG6,6,s-energy,0.0
IGD+,WFG6,6,spd,0.0
R2,WFG6,6,spd,0.0
IGD+,WFG7,6,eps+,1.0
R2,WFG7,6,eps+,0.0
IGD+,WFG7,6,hv,1.0
R2,WFG7,6,hv,0.0
IGD+,WFG7,6,igd,1.0
R2,WFG7,6,igd,0.0
IGD+,WFG7,6,igd+,1.0
R2,WFG7,6,igd+,0.0
IGD+,WFG7,6,r2,0.0
R2,WFG7,6,r2,0.0
IGD+,WFG7,6,s-energy,0.0
R2,WFG7,6,s-energy,0.0
IGD+,WFG7,6,spd,0.0
R2,WFG7,6,spd,0.0
IGD+,WFG8,6,eps+,1.0
R2,WFG8,6,eps+,0.0
IGD+,WFG8,6,hv,1.0
R2,WFG8,6,hv,0.0
IGD+,WFG8,6,igd,0.0
R2,WFG8,6,igd,0.0
IGD+,WFG8,6,igd+,0.0
R2,WFG8,6,igd+,0.0
IGD+,WFG8,6,r2,1.0
R2,WFG8,6,r2,0.0
IGD+,WFG8,6,s-energy,0.0
R2,WFG8,6,s-energy,0.0
IGD+,WFG8,6,spd,0.0
R2,WFG8,6,spd,0.0
IGD+,WFG9,6,eps+,1.0
R2,WFG9,6,eps+,0.0
IGD+,WFG9,6,hv,1.0
R2,WFG9,6,hv,0.0
IGD+,WFG9,6,igd,1.0
R2,WFG9,6,igd,0.0
IGD+,WFG9,6,igd+,1.0
R2,WFG9,6,igd+,0.0
IGD+,WFG9,6,r2,1.0
R2,WFG9,6,r2,0.0
IGD+,WFG9,6,s-energy,1.0
R2,WFG9,6,s-energy,0.0
IGD+,WFG9,6,spd,0.0
R2,WFG9,6,spd,0.0
IGD+,DTLZ1,7,eps+,0.0
R2,DTLZ1,7,eps+,0.0
IGD+,DTLZ1,7,hv,1.0
R2,DTLZ1,7,hv,0.0
IGD+,DTLZ1,7,igd,0.0
R2,DTLZ1,7,igd,0.0
IGD+,DTLZ1,7,igd+,1.0
R2,DTLZ1,7,igd+,0.0
IGD+,DTLZ1,7,r2,0.0
R2,DTLZ1,7,r2,0.0
IGD+,DTLZ1,7,s-energy,0.0
R2,DTLZ1,7,s-energy,0.0
IGD+,DTLZ1,7,spd,0.0
R2,DTLZ1,7,spd,0.0
IGD+,DTLZ2,7,eps+,1.0
R2,DTLZ2,7,eps+,0.0
IGD+,DTLZ2,7,hv,1.0
R2,DTLZ2,7,hv,0.0
IGD+,DTLZ2,7,igd,1.0
R2,DTLZ2,7,igd,0.0
IGD+,DTLZ2,7,igd+,1.0
R2,DTLZ2,7,igd+,0.0
IGD+,DTLZ2,7,r2,1.0
R2,DTLZ2,7,r2,0.0
IGD+,DTLZ2,7,s-energy,1.0
R2,DTLZ2,7,s-energy,0.0
IGD+,DTLZ2,7,spd,1.0
R2,DTLZ2,7,spd,0.0
IGD+,DTLZ3,7,eps+,0.0
R2,DTLZ3,7,eps+,0.0
IGD+,DTLZ3,7,hv,0.0
R2,DTLZ3,7,hv,0.0
IGD+,DTLZ3,7,igd,0.0
R2,DTLZ3,7,igd,0.0
IGD+,DTLZ3,7,igd+,0.0
R2,DTLZ3,7,igd+,0.0
IGD+,DTLZ3,7,r2,0.0
R2,DTLZ3,7,r2,0.0
IGD+,DTLZ3,7,s-energy,0.0
R2,DTLZ3,7,s-energy,0.0
IGD+,DTLZ3,7,spd,0.0
R2,DTLZ3,7,spd,0.0
IGD+,DTLZ4,7,eps+,0.0
R2,DTLZ4,7,eps+,0.0
IGD+,DTLZ4,7,hv,0.0
R2,DTLZ4,7,hv,0.0
IGD+,DTLZ4,7,igd,0.0
R2,DTLZ4,7,igd,0.0
IGD+,DTLZ4,7,igd+,0.0
R2,DTLZ4,7,igd+,0.0
IGD+,DTLZ4,7,r2,0.0
R2,DTLZ4,7,r2,0.0
IGD+,DTLZ4,7,s-energy,0.0
R2,DTLZ4,7,s-energy,0.0
IGD+,DTLZ4,7,spd,0.0
R2,DTLZ4,7,spd,0.0
IGD+,DTLZ5,7,eps+,0.0
R2,DTLZ5,7,eps+,0.0
IGD+,DTLZ5,7,hv,1.0
R2,DTLZ5,7,hv,0.0
IGD+,DTLZ5,7,igd,1.0
R2,DTLZ5,7,igd,1.0
IGD+,DTLZ5,7,igd+,1.0
R2,DTLZ5,7,igd+,0.0
IGD+,DTLZ5,7,r2,0.0
R2,DTLZ5,7,r2,0.0
IGD+,DTLZ5,7,s-energy,1.0
R2,DTLZ5,7,s-energy,0.0
IGD+,DTLZ5,7,spd,1.0
R2,DTLZ5,7,spd,0.0
IGD+,DTLZ6,7,eps+,1.0
R2,DTLZ6,7,eps+,0.0
IGD+,DTLZ6,7,hv,
R2,DTLZ6,7,hv,0.0
IGD+,DTLZ6,7,igd,1.0
R2,DTLZ6,7,igd,0.0
IGD+,DTLZ6,7,igd+,1.0
R2,DTLZ6,7,igd+,0.0
IGD+,DTLZ6,7,r2,1.0
R2,DTLZ6,7,r2,0.0
IGD+,DTLZ6,7,s-energy,1.0
R2,DTLZ6,7,s-energy,0.0
IGD+,DTLZ6,7,spd,0.0
R2,DTLZ6,7,spd,1.0
IGD+,DTLZ7,7,eps+,1.0
R2,DTLZ7,7,eps+,0.0
IGD+,DTLZ7,7,hv,1.0
R2,DTLZ7,7,hv,0.0
IGD+,DTLZ7,7,igd,1.0
R2,DTLZ7,7,igd,0.0
IGD+,DTLZ7,7,igd+,1.0
R2,DTLZ7,7,igd+,0.0
IGD+,DTLZ7,7,r2,1.0
R2,DTLZ7,7,r2,0.0
IGD+,DTLZ7,7,s-energy,1.0
R2,DTLZ7,7,s-energy,0.0
IGD+,DTLZ7,7,spd,1.0
R2,DTLZ7,7,spd,0.0
IGD+,WFG1,7,eps+,0.0
R2,WFG1,7,eps+,0.0
IGD+,WFG1,7,hv,0.0
R2,WFG1,7,hv,0.0
IGD+,WFG1,7,igd,0.0
R2,WFG1,7,igd,0.0
IGD+,WFG1,7,igd+,1.0
R2,WFG1,7,igd+,0.0
IGD+,WFG1,7,r2,0.0
R2,WFG1,7,r2,0.0
IGD+,WFG1,7,s-energy,0.0
R2,WFG1,7,s-energy,0.0
IGD+,WFG1,7,spd,0.0
R2,WFG1,7,spd,0.0
IGD+,WFG2,7,eps+,0.0
R2,WFG2,7,eps+,0.0
IGD+,WFG2,7,hv,0.0
R2,WFG2,7,hv,0.0
IGD+,WFG2,7,igd,0.0
R2,WFG2,7,igd,0.0
IGD+,WFG2,7,igd+,0.0
R2,WFG2,7,igd+,0.0
IGD+,WFG2,7,r2,0.0
R2,WFG2,7,r2,0.0
IGD+,WFG2,7,s-energy,0.0
R2,WFG2,7,s-energy,0.0
IGD+,WFG2,7,spd,0.0
R2,WFG2,7,spd,0.0
IGD+,WFG3,7,eps+,0.0
R2,WFG3,7,eps+,0.0
IGD+,WFG3,7,hv,0.0
R2,WFG3,7,hv,0.0
IGD+,WFG3,7,igd,0.0
R2,WFG3,7,igd,0.0
IGD+,WFG3,7,igd+,0.0
R2,WFG3,7,igd+,0.0
IGD+,WFG3,7,r2,0.0
R2,WFG3,7,r2,0.0
IGD+,WFG3,7,s-energy,0.0
R2,WFG3,7,s-energy,0.0
IGD+,WFG3,7,spd,0.0
R2,WFG3,7,spd,0.0
IGD+,WFG4,7,eps+,0.0
R2,WFG4,7,eps+,0.0
IGD+,WFG4,7,hv,1.0
R2,WFG4,7,hv,0.0
IGD+,WFG4,7,igd,1.0
R2,WFG4,7,igd,0.0
IGD+,WFG4,7,igd+,1.0
R2,WFG4,7,igd+,0.0
IGD+,WFG4,7,r2,1.0
R2,WFG4,7,r2,0.0
IGD+,WFG4,7,s-energy,1.0
R2,WFG4,7,s-energy,0.0
IGD+,WFG4,7,spd,1.0
R2,WFG4,7,spd,0.0
IGD+,WFG5,7,eps+,1.0
R2,WFG5,7,eps+,0.0
IGD+,WFG5,7,hv,1.0
R2,WFG5,7,hv,0.0
IGD+,WFG5,7,igd,1.0
R2,WFG5,7,igd,0.0
IGD+,WFG5,7,igd+,1.0
R2,WFG5,7,igd+,0.0
IGD+,WFG5,7,r2,1.0
R2,WFG5,7,r2,0.0
IGD+,WFG5,7,s-energy,1.0
R2,WFG5,7,s-energy,0.0
IGD+,WFG5,7,spd,0.0
R2,WFG5,7,spd,0.0
IGD+,WFG6,7,eps+,0.0
R2,WFG6,7,eps+,0.0
IGD+,WFG6,7,hv,0.0
R2,WFG6,7,hv,0.0
IGD+,WFG6,7,igd,0.0
R2,WFG6,7,igd,0.0
IGD+,WFG6,7,igd+,1.0
R2,WFG6,7,igd+,0.0
IGD+,WFG6,7,r2,0.0
R2,WFG6,7,r2,0.0
IGD+,WFG6,7,s-energy,1.0
R2,WFG6,7,s-energy,0.0
IGD+,WFG6,7,spd,0.0
R2,WFG6,7,spd,0.0
IGD+,WFG7,7,eps+,1.0
R2,WFG7,7,eps+,0.0
IGD+,WFG7,7,hv,1.0
R2,WFG7,7,hv,0.0
IGD+,WFG7,7,igd,1.0
R2,WFG7,7,igd,0.0
IGD+,WFG7,7,igd+,1.0
R2,WFG7,7,igd+,0.0
IGD+,WFG7,7,r2,0.0
R2,WFG7,7,r2,0.0
IGD+,WFG7,7,s-energy,1.0
R2,WFG7,7,s-energy,0.0
IGD+,WFG7,7,spd,0.0
R2,WFG7,7,spd,0.0
IGD+,WFG8,7,eps+,1.0
R2,WFG8,7,eps+,0.0
IGD+,WFG8,7,hv,1.0
R2,WFG8,7,hv,0.0
IGD+,WFG8,7,igd,0.0
R2,WFG8,7,igd,0.0
IGD+,WFG8,7,igd+,1.0
R2,WFG8,7,igd+,0.0
IGD+,WFG8,7,r2,1.0
R2,WFG8,7,r2,0.0
IGD+,WFG8,7,s-energy,1.0
R2,WFG8,7,s-energy,0.0
IGD+,WFG8,7,spd,0.0
R2,WFG8,7,spd,0.0
IGD+,WFG9,7,eps+,1.0
R2,WFG9,7,eps+,0.0
IGD+,WFG9,7,hv,1.0
R2,WFG9,7,hv,0.0
IGD+,WFG9,7,igd,0.0
R2,WFG9,7,igd,0.0
IGD+,WFG9,7,igd+,1.0
R2,WFG9,7,igd+,0.0
IGD+,WFG9,7,r2,1.0
R2,WFG9,7,r2,0.0
IGD+,WFG9,7,s-energy,1.0
R2,WFG9,7,s-energy,0.0
IGD+,WFG9,7,spd,0.0
R2,WFG9,7,spd,0.0
