hiperparam_ind_conv,problema,n_objetivos,indicador,Medias_Distintas
IGD+,WFG3,2,spd,0.0
R2,WFG3,2,spd,0.0
IGD+,WFG4,2,eps+,1.0
R2,WFG4,2,eps+,0.0
IGD+,WFG4,2,hv,1.0
R2,WFG4,2,hv,0.0
IGD+,WFG4,2,igd,1.0
R2,WFG4,2,igd,0.0
IGD+,WFG4,2,igd+,1.0
R2,WFG4,2,igd+,0.0
IGD+,WFG4,2,r2,0.0
R2,WFG4,2,r2,0.0
IGD+,WFG4,2,s-energy,0.0
R2,WFG4,2,s-energy,0.0
IGD+,WFG4,2,spd,1.0
R2,WFG4,2,spd,0.0
IGD+,WFG5,2,eps+,0.0
R2,WFG5,2,eps+,0.0
IGD+,WFG5,2,hv,0.0
R2,WFG5,2,hv,0.0
IGD+,WFG5,2,igd,0.0
R2,WFG5,2,igd,0.0
IGD+,WFG5,2,igd+,0.0
R2,WFG5,2,igd+,0.0
IGD+,WFG5,2,r2,0.0
R2,WFG5,2,r2,0.0
IGD+,WFG5,2,s-energy,0.0
R2,WFG5,2,s-energy,1.0
IGD+,WFG5,2,spd,0.0
R2,WFG5,2,spd,0.0
IGD+,WFG6,2,eps+,1.0
R2,WFG6,2,eps+,0.0
IGD+,WFG6,2,hv,0.0
R2,WFG6,2,hv,0.0
IGD+,WFG6,2,igd,0.0
R2,WFG6,2,igd,0.0
IGD+,WFG6,2,igd+,0.0
R2,WFG6,2,igd+,0.0
IGD+,WFG6,2,r2,0.0
R2,WFG6,2,r2,0.0
IGD+,WFG6,2,s-energy,1.0
R2,WFG6,2,s-energy,0.0
IGD+,WFG6,2,spd,0.0
R2,WFG6,2,spd,0.0
IGD+,WFG7,2,eps+,1.0
R2,WFG7,2,eps+,0.0
IGD+,WFG7,2,hv,1.0
R2,WFG7,2,hv,0.0
IGD+,WFG7,2,igd,1.0
R2,WFG7,2,igd,0.0
IGD+,WFG7,2,igd+,1.0
R2,WFG7,2,igd+,0.0
IGD+,WFG7,2,r2,1.0
R2,WFG7,2,r2,0.0
IGD+,WFG7,2,s-energy,1.0
