n_objetivos,problema,indicador,0,1,2,3,4,5,6,7,8,9,10
3,WFG1,igd+,0,0,0,3,2,0,0,0,0,0,0
3,WFG1,r2,1,2,1,0,0,0,0,0,0,1,0
3,WFG1,s-energy,0,0,0,1,0,0,1,0,0,1,0
3,WFG1,spd,2,0,0,1,0,3,0,0,2,1,0
3,WFG2,eps+,0,0,0,0,0,0,0,0,0,0,0
3,WFG2,hv,0,0,3,0,0,0,0,0,0,0,0
3,WFG2,igd,0,1,0,0,0,0,0,0,4,0,0
3,WFG2,igd+,0,0,3,0,0,0,0,0,0,0,0
3,WFG2,r2,0,0,0,0,0,0,0,0,0,0,0
3,WFG2,s-energy,0,0,0,1,0,0,0,0,0,0,0
3,WFG2,spd,0,0,0,0,1,0,0,0,0,0,0
3,WFG3,eps+,0,1,0,0,2,0,2,0,0,0,0
3,WFG3,hv,0,0,0,0,1,0,0,1,0,0,0
3,WFG3,igd,0,0,0,0,1,0,1,0,0,0,0
3,WFG3,igd+,1,0,0,0,0,0,0,1,0,0,0
3,WFG3,r2,1,0,0,0,0,0,0,0,0,3,0
3,WFG3,s-energy,0,0,0,0,2,0,0,0,0,0,0
3,WFG3,spd,0,0,0,1,0,0,1,0,1,3,0
3,WFG4,eps+,3,0,0,0,0,0,0,1,0,2,5
3,WFG4,hv,0,0,0,1,2,0,1,0,0,0,0
3,WFG4,igd,4,0,0,0,0,0,0,0,0,0,2
3,WFG4,igd+,0,0,0,1,2,0,2,0,0,0,2
3,WFG4,r2,0,1,0,0,0,0,0,0,0,0,0
3,WFG4,s-energy,0,0,0,1,1,0,0,0,0,0,6
3,WFG4,spd,0,1,1,0,0,1,0,1,1,0,0
3,WFG5,eps+,0,0,1,2,1,0,0,0,0,0,0
3,WFG5,hv,0,1,0,0,1,1,0,0,1,0,9
3,WFG5,igd,0,1,0,1,0,0,0,0,0,2,0
3,WFG5,igd+,0,0,0,0,0,0,0,0,0,0,9
3,WFG5,r2,0,0,0,0,3,2,0,4,0,0,0
3,WFG5,s-energy,0,0,0,0,0,0,0,0,0,0,0
3,WFG5,spd,0,0,0,0,0,0,0,1,0,0,0
3,WFG6,eps+,0,0,0,0,0,0,1,0,0,0,0
3,WFG6,hv,0,2,0,0,0,0,0,0,0,0,0
3,WFG6,igd,1,0,0,0,1,1,0,0,0,0,0
3,WFG6,igd+,0,1,0,1,0,0,0,0,0,0,0
3,WFG6,r2,0,0,0,0,0,0,1,0,0,0,2
3,WFG6,s-energy,0,0,2,1,0,0,0,2,0,5,2
3,WFG6,spd,0,1,0,0,0,0,4,0,7,0,0
3,WFG7,eps+,0,0,0,0,0,0,3,3,3,0,0
3,WFG7,hv,0,0,0,0,0,0,0,0,1,0,0
3,WFG7,igd,4,0,0,0,0,0,1,0,0,0,0
3,WFG7,igd+,0,1,0,0,0,0,0,0,0,0,0
3,WFG7,r2,0,0,0,0,0,0,0,0,0,0,0
3,WFG7,s-energy,0,0,1,1,0,0,1,1,1,0,0
3,WFG7,spd,0,0,0,0,0,0,0,0,0,2,0
3,WFG8,eps+,0,0,0,0,0,0,0,0,0,0,0
3,WFG8,hv,0,0,0,0,0,0,0,2,0,0,0
3,WFG8,igd,2,1,0,0,3,1,0,1,1,0,0
3,WFG8,igd+,0,0,0,0,1,1,0,3,1,0,0
3,WFG8,r2,0,0,9,0,0,0,2,1,0,0,0
3,WFG8,s-energy,0,1,0,0,0,0,0,1,1,0,0
3,WFG8,spd,0,0,0,1,0,0,1,0,0,1,0
3,WFG9,eps+,0,0,0,1,2,4,0,0,0,0,0
3,WFG9,hv,0,0,0,0,2,0,2,0,1,0,0
3,WFG9,igd,0,0,0,0,0,0,2,0,1,0,0
3,WFG9,igd+,0,0,0,0,0,0,2,0,1,0,0
3,WFG9,r2,0,0,1,0,0,0,1,0,0,0,0
3,WFG9,s-energy,1,0,0,0,0,1,0,0,0,2,0
3,WFG9,spd,0,0,1,0,0,0,0,0,0,0,0
4,DTLZ1,eps+,0,0,0,0,0,0,0,0,0,0,0
4,DTLZ1,hv,0,0,0,1,0,0,1,0,0,0,0
4,DTLZ1,igd,0,0,1,1,0,0,0,0,0,0,1
4,DTLZ1,igd+,1,3,0,0,0,0,0,0,0,1,0
4,DTLZ1,r2,0,0,0,0,4,2,5,2,1,0,0
4,DTLZ1,s-energy,1,0,0,0,0,0,3,1,0,0,0
4,DTLZ1,spd,0,0,0,2,0,0,0,0,0,0,0
4,DTLZ2,eps+,0,0,2,0,0,0,1,0,1,1,0
4,DTLZ2,hv,0,0,0,0,0,0,0,0,0,0,0
4,DTLZ2,igd,1,1,0,0,0,0,0,0,3,0,0
4,DTLZ2,igd+,0,1,0,0,4,4,1,0,0,0,1
4,DTLZ2,r2,0,0,0,0,5,4,0,0,2,0,0
4,DTLZ2,s-energy,0,0,0,0,0,0,0,0,0,0,0
4,DTLZ2,spd,1,0,4,0,0,0,1,1,0,0,0
4,DTLZ3,eps+,0,0,0,0,0,0,0,2,0,0,0
4,DTLZ3,hv,0,0,0,0,0,0,0,1,0,0,0
4,DTLZ3,igd,0,1,0,0,0,0,0,0,0,0,0
4,DTLZ3,igd+,0,0,0,0,0,1,0,2,0,0,0
4,DTLZ3,r2,0,0,0,0,0,1,0,1,0,0,1
4,DTLZ3,s-energy,0,0,0,0,0,2,0,0,0,0,0
4,DTLZ3,spd,2,0,0,0,0,0,0,2,1,0,1
4,DTLZ4,eps+,0,2,1,2,1,1,0,0,0,0,1
4,DTLZ4,hv,0,0,0,2,4,0,0,1,0,0,0
4,DTLZ4,igd,0,0,0,0,0,0,2,0,0,1,0
4,DTLZ4,igd+,0,0,0,2,5,0,0,4,0,0,0
4,DTLZ4,r2,1,0,0,2,1,0,3,2,3,0,0
4,DTLZ4,s-energy,1,1,0,0,0,0,2,0,0,0,0
4,DTLZ4,spd,0,2,2,0,0,2,2,0,0,2,0
4,DTLZ5,eps+,0,0,0,0,0,0,1,0,0,0,0
4,DTLZ5,hv,1,0,2,0,0,6,0,0,0,0,0
4,DTLZ5,igd,0,0,1,0,0,0,0,0,0,2,1
4,DTLZ5,igd+,0,0,0,0,0,0,0,0,0,0,0
4,DTLZ5,r2,0,0,0,1,0,0,0,0,0,0,0
4,DTLZ5,s-energy,0,3,0,0,2,0,0,0,0,3,0
4,DTLZ5,spd,4,0,0,0,0,0,1,0,1,0,0
4,DTLZ6,eps+,0,0,0,0,0,0,6,0,0,0,1
4,DTLZ6,hv,0,1,0,0,0,1,3,1,0,0,5
4,DTLZ6,igd,0,1,4,0,0,5,0,0,0,0,3
4,DTLZ6,igd+,0,1,0,0,0,8,0,1,0,4,3
4,DTLZ6,r2,0,0,0,0,0,0,0,0,0,0,3
4,DTLZ6,s-energy,0,0,0,2,0,7,0,0,0,0,1
4,DTLZ6,spd,0,3,0,0,2,0,0,3,0,0,0
4,DTLZ7,eps+,0,0,0,0,0,0,7,0,0,0,0
4,DTLZ7,hv,0,2,0,1,0,1,0,0,0,3,0
4,DTLZ7,igd,0,2,0,0,0,0,4,0,0,1,0
4,DTLZ7,igd+,0,2,1,0,0,0,6,0,0,1,0
4,DTLZ7,r2,0,0,0,0,0,1,0,0,1,0,0
4,DTLZ7,s-energy,0,2,1,0,0,2,0,0,0,0,0
4,DTLZ7,spd,3,0,1,2,3,0,0,0,1,0,0
4,WFG1,eps+,0,0,4,0,0,0,0,0,0,0,0
4,WFG1,hv,0,0,0,0,0,0,0,0,0,0,0
4,WFG1,igd,0,0,0,0,0,0,0,0,0,0,0
4,WFG1,igd+,0,0,0,0,0,0,0,0,0,0,0
4,WFG1,r2,0,0,0,0,0,0,0,1,0,0,0
4,WFG1,s-energy,0,0,0,0,0,0,0,0,0,0,1
4,WFG1,spd,0,0,0,0,0,0,0,3,0,0,0
4,WFG2,eps+,0,0,5,1,0,0,2,0,1,0,0
4,WFG2,hv,0,0,2,0,0,0,0,0,0,0,0
4,WFG2,igd,0,0,3,2,0,0,1,0,0,2,0
4,WFG2,igd+,0,0,5,0,0,0,1,0,0,2,0
4,WFG2,r2,2,5,1,0,2,1,0,1,4,2,0
4,WFG2,s-energy,3,0,0,0,1,0,0,0,0,0,1
4,WFG2,spd,1,3,0,0,0,6,0,1,0,1,0
4,WFG3,eps+,0,0,0,0,0,0,0,0,8,2,0
4,WFG3,hv,0,2,0,2,0,0,0,0,3,0,0
4,WFG3,igd,0,0,0,0,1,2,0,0,0,0,0
4,WFG3,igd+,1,1,0,0,0,2,2,0,1,0,0
4,WFG3,r2,0,0,4,0,0,0,1,0,0,0,0
4,WFG3,s-energy,0,0,0,0,0,0,0,0,0,0,0
4,WFG3,spd,0,0,0,0,0,0,0,0,0,0,0
4,WFG4,eps+,2,0,0,0,0,0,0,0,1,1,0
4,WFG4,hv,0,0,0,0,0,0,1,0,0,1,0
4,WFG4,igd,0,0,0,0,0,0,0,0,0,0,0
4,WFG4,igd+,0,0,0,0,0,0,0,0,0,2,1
4,WFG4,r2,0,0,0,0,0,2,3,0,0,3,0
4,WFG4,s-energy,0,0,0,0,0,0,0,6,1,0,1
4,WFG4,spd,0,1,1,1,2,2,2,0,0,0,0
4,WFG5,eps+,0,3,3,0,0,0,0,0,0,0,0
4,WFG5,hv,0,0,0,0,0,0,0,0,0,9,5
4,WFG5,igd,0,0,0,0,0,0,0,0,0,0,0
4,WFG5,igd+,0,0,0,0,0,0,0,0,0,6,1
4,WFG5,r2,0,0,0,0,0,0,0,0,0,0,0
4,WFG5,s-energy,0,0,0,0,0,0,0,0,0,0,4
4,WFG5,spd,0,0,0,0,0,0,0,1,2,0,0
4,WFG6,eps+,0,0,0,0,0,0,0,1,0,0,0
4,WFG6,hv,2,0,0,0,0,0,0,4,4,4,0
4,WFG6,igd,0,0,0,0,0,0,0,0,0,0,0
4,WFG6,igd+,2,0,0,0,0,0,0,4,2,6,2
4,WFG6,r2,1,0,0,0,0,0,0,0,2,1,0
4,WFG6,s-energy,0,0,0,0,0,0,0,0,0,0,1
4,WFG6,spd,0,0,0,0,0,0,0,0,0,0,0
4,WFG7,eps+,0,0,0,0,0,0,0,0,0,0,8
4,WFG7,hv,0,0,0,0,0,0,0,0,0,0,0
4,WFG7,igd,4,0,0,0,0,0,0,0,2,0,7
4,WFG7,igd+,0,0,0,0,0,0,0,0,0,0,0
4,WFG7,r2,0,0,0,0,0,2,2,3,0,1,0
4,WFG7,s-energy,0,0,0,0,0,0,0,0,0,8,0
4,WFG7,spd,1,1,1,1,0,1,1,1,1,0,0
4,WFG8,eps+,0,2,4,0,0,0,0,0,0,0,6
4,WFG8,hv,0,0,0,0,0,0,0,0,0,0,0
4,WFG8,igd,0,0,0,0,0,0,1,0,0,0,0
4,WFG8,igd+,0,1,0,0,0,1,0,0,1,0,0
4,WFG8,r2,0,3,0,0,2,0,0,0,2,2,0
4,WFG8,s-energy,0,0,0,0,0,1,2,1,0,0,0
4,WFG8,spd,0,0,0,0,0,1,0,1,0,0,0
4,WFG9,eps+,1,0,1,0,0,0,0,0,0,4,0
4,WFG9,hv,0,0,0,0,0,0,0,0,0,2,0
4,WFG9,igd,0,0,0,0,0,0,0,4,1,0,0
4,WFG9,igd+,0,0,0,0,0,0,0,0,0,3,0
4,WFG9,r2,0,0,0,0,0,0,0,0,0,0,0
4,WFG9,s-energy,0,0,0,0,1,0,0,0,0,0,0
4,WFG9,spd,0,0,0,0,0,0,0,0,0,0,0
5,DTLZ1,eps+,0,0,0,1,1,1,0,3,0,1,1
5,DTLZ1,hv,0,1,2,0,0,0,0,0,0,0,0
5,DTLZ1,igd,0,0,0,0,0,0,0,1,0,1,0
5,DTLZ1,igd+,0,0,0,0,0,0,0,1,0,0,0
5,DTLZ1,r2,6,0,4,0,0,0,0,0,2,0,0
5,DTLZ1,s-energy,0,0,1,0,3,1,0,0,0,0,4
5,DTLZ1,spd,0,0,0,0,1,0,0,0,0,3,0
5,DTLZ2,eps+,0,5,0,0,0,0,1,0,1,2,0
5,DTLZ2,hv,0,1,0,0,0,1,0,0,1,0,0
5,DTLZ2,igd,2,1,4,1,1,0,0,3,2,2,0
5,DTLZ2,igd+,0,3,0,0,0,0,0,1,2,1,0
5,DTLZ2,r2,0,0,0,0,0,0,0,0,0,0,0
5,DTLZ2,s-energy,0,0,0,0,1,0,0,0,0,0,0
5,DTLZ2,spd,0,0,3,1,1,0,0,0,0,0,2
5,DTLZ3,eps+,0,0,0,0,2,0,0,1,0,0,0
5,DTLZ3,hv,3,0,0,0,0,1,0,0,1,0,0
5,DTLZ3,igd,0,0,0,0,0,0,0,0,0,0,2
5,DTLZ3,igd+,3,0,0,0,0,1,0,1,1,0,0
5,DTLZ3,r2,0,0,2,0,4,0,0,0,0,0,0
5,DTLZ3,s-energy,0,4,0,4,0,0,1,0,0,0,0
5,DTLZ3,spd,0,0,0,0,0,0,0,1,0,0,1
5,DTLZ4,eps+,2,3,3,2,2,0,0,0,0,3,0
5,DTLZ4,hv,5,0,0,0,0,1,0,0,0,0,3
5,DTLZ4,igd,0,0,0,0,0,4,0,0,0,0,0
5,DTLZ4,igd+,0,0,0,0,0,1,0,0,0,1,4
5,DTLZ4,r2,4,0,1,1,0,0,0,0,0,0,1
5,DTLZ4,s-energy,2,0,0,0,2,4,3,3,2,2,3
5,DTLZ4,spd,0,3,3,3,1,0,1,1,2,1,0
5,DTLZ5,eps+,0,0,0,0,0,3,0,1,0,0,0
5,DTLZ5,hv,1,0,2,0,0,0,1,0,0,0,2
5,DTLZ5,igd,0,0,0,0,0,0,0,1,0,1,0
5,DTLZ5,igd+,0,0,1,0,0,0,0,0,0,0,1
5,DTLZ5,r2,0,0,0,1,0,0,0,0,0,0,0
5,DTLZ5,s-energy,0,0,0,0,0,0,0,0,0,0,0
5,DTLZ5,spd,0,0,0,0,0,0,0,0,0,0,0
5,DTLZ6,eps+,0,0,0,0,0,1,0,0,0,0,0
5,DTLZ6,hv,0,0,0,0,0,0,0,1,0,0,0
5,DTLZ6,igd,0,0,0,0,0,0,0,0,0,0,0
5,DTLZ6,igd+,0,0,0,0,0,0,0,3,0,0,0
5,DTLZ6,r2,0,1,0,2,0,0,0,0,0,0,0
5,DTLZ6,s-energy,0,0,0,0,0,0,0,1,0,0,1
5,DTLZ6,spd,0,0,0,0,0,0,0,2,0,0,0
5,DTLZ7,eps+,1,3,0,1,3,1,0,2,0,0,0
5,DTLZ7,hv,0,1,0,0,0,1,0,0,3,0,0
5,DTLZ7,igd,0,4,0,0,0,0,0,0,0,0,1
5,DTLZ7,igd+,0,0,0,1,0,0,0,0,0,1,0
5,DTLZ7,r2,0,2,0,0,0,0,0,0,3,0,0
5,DTLZ7,s-energy,0,0,5,0,0,0,0,0,0,0,1
5,DTLZ7,spd,0,0,0,0,0,0,0,2,0,0,0
5,WFG1,eps+,0,0,0,0,1,1,1,0,0,0,0
5,WFG1,hv,0,0,0,0,0,0,0,0,1,0,0
5,WFG1,igd,0,0,0,1,1,1,0,0,0,0,0
5,WFG1,igd+,0,0,0,0,0,0,0,0,0,0,0
5,WFG1,r2,0,0,0,0,0,0,0,0,0,0,0
5,WFG1,s-energy,1,2,0,0,0,0,0,0,0,0,0
5,WFG1,spd,0,0,0,0,0,0,0,0,0,0,0
5,WFG2,eps+,0,0,0,0,0,0,0,0,0,0,0
5,WFG2,hv,0,0,0,1,0,0,0,0,0,0,0
5,WFG2,igd,1,1,0,0,1,0,0,0,1,1,1
5,WFG2,igd+,0,0,0,1,0,0,0,0,0,0,0
5,WFG2,r2,0,0,0,0,0,1,0,1,0,0,0
5,WFG2,s-energy,1,0,0,0,0,0,0,0,0,0,0
5,WFG2,spd,1,0,0,0,0,1,1,1,0,0,0
5,WFG3,eps+,0,0,5,0,0,0,0,1,0,0,0
5,WFG3,hv,0,0,0,0,0,1,1,0,0,0,3
5,WFG3,igd,2,3,2,0,1,2,0,0,0,0,1
5,WFG3,igd+,2,0,1,0,0,0,0,0,0,0,1
5,WFG3,r2,0,0,3,1,1,0,2,0,1,3,0
5,WFG3,s-energy,0,1,0,0,0,1,1,1,4,4,1
5,WFG3,spd,0,0,1,0,0,0,1,1,0,0,0
5,WFG4,eps+,0,0,0,0,0,0,0,1,2,0,0
5,WFG4,hv,0,0,0,0,0,0,0,1,0,4,2
5,WFG4,igd,0,0,0,0,0,0,0,1,0,0,0
5,WFG4,igd+,0,0,0,0,0,0,0,1,1,5,0
5,WFG4,r2,0,0,0,0,0,0,0,0,0,0,0
5,WFG4,s-energy,0,0,0,0,0,0,0,0,0,1,0
5,WFG4,spd,0,0,0,0,0,0,0,0,0,0,1
