problema,dimension,0.001,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.9,0.999
WFG2,5,2.580939e+06 +- 2.580939e+06,2.646353e+06 +- 2.646353e+06,2.559723e+06 +- 2.559723e+06,2.539072e+06 +- 2.539072e+06,2.538423e+06 +- 2.538423e+06,2.525998e+06 +- 2.525998e+06,2.533604e+06 +- 2.533604e+06,2.533432e+06 +- 2.533432e+06,2.528596e+06 +- 2.528596e+06,2.533605e+06 +- 2.533605e+06,2.519143e+06 +- 2.519143e+06
WFG2,7,1.616693e+00 +- 1.616693e+00,1.609659e+00 +- 1.609659e+00,1.575975e+00 +- 1.575975e+00,1.607834e+00 +- 1.607834e+00,1.625207e+00 +- 1.625207e+00,1.577755e+00 +- 1.577755e+00,1.596139e+00 +- 1.596139e+00,1.609142e+00 +- 1.609142e+00,1.608587e+00 +- 1.608587e+00,1.640199e+00 +- 1.640199e+00,1.626573e+00 +- 1.626573e+00
WFG2,10,,,,,,,,,,,
WFG3,3,3.141834e+01 +- 3.141834e+01,3.146147e+01 +- 3.146147e+01,3.006963e+01 +- 3.006963e+01,3.154970e+01 +- 3.154970e+01,3.155053e+01 +- 3.155053e+01,3.015757e+01 +- 3.015757e+01,3.153202e+01 +- 3.153202e+01,3.157691e+01 +- 3.157691e+01,3.160482e+01 +- 3.160482e+01,3.156228e+01 +- 3.156228e+01,3.160315e+01 +- 3.160315e+01
WFG3,5,2.157599e-01 +- 2.157599e-01,2.137405e-01 +- 2.137405e-01,2.128640e-01 +- 2.128640e-01,2.140718e-01 +- 2.140718e-01,2.149310e-01 +- 2.149310e-01,2.159939e-01 +- 2.159939e-01,2.152443e-01 +- 2.152443e-01,2.172771e-01 +- 2.172771e-01,2.154455e-01 +- 2.154455e-01,2.179552e-01 +- 2.179552e-01,2.193215e-01 +- 2.193215e-01
WFG3,7,,,,,,,,,,,
WFG3,10,,,,,,,,,,,
WFG4,3,,,,,,,,,,,
WFG4,5,1.304719e-01 +- 1.304719e-01,1.022362e-01 +- 1.022362e-01,1.157607e-01 +- 1.157607e-01,8.923941e-02 +- 8.923941e-02,1.319401e-01 +- 1.319401e-01,8.416743e-02 +- 8.416743e-02,8.193678e-02 +- 8.193678e-02,8.778045e-02 +- 8.778045e-02,8.200605e-02 +- 8.200605e-02,7.990710e-02 +- 7.990710e-02,7.743555e-02 +- 7.743555e-02
WFG4,7,1.776262e+00 +- 1.776262e+00,1.772505e+00 +- 1.772505e+00,1.777036e+00 +- 1.777036e+00,1.769543e+00 +- 1.769543e+00,1.761901e+00 +- 1.761901e+00,1.771487e+00 +- 1.771487e+00,1.769339e+00 +- 1.769339e+00,1.765468e+00 +- 1.765468e+00,1.773810e+00 +- 1.773810e+00,1.775672e+00 +- 1.775672e+00,1.770002e+00 +- 1.770002e+00
