problema,Indicador,dimension,w_0,IGD+,R2
DTLZ1,r2,3,0.7000000000000001,0.5771484375,0.4609375
DTLZ1,r2,3,0.8,0.6875,0.34765625
DTLZ1,r2,3,0.9,0.9755859375,0.0322265625
DTLZ1,r2,3,0.999,0.4228515625,0.615234375
DTLZ1,r2,4,0.001,0.9931640625,0.009765625
DTLZ1,r2,4,0.1,0.9990234375,0.001953125
DTLZ1,r2,4,0.2,0.998046875,0.0029296875
DTLZ1,r2,4,0.3,1.0,0.0009765625
DTLZ1,r2,4,0.4,0.998046875,0.0029296875
DTLZ1,r2,4,0.5,0.9970703125,0.0048828125
DTLZ1,r2,4,0.6000000000000001,0.9814453125,0.0244140625
DTLZ1,r2,4,0.7000000000000001,0.9990234375,0.001953125
DTLZ1,r2,4,0.8,0.919921875,0.0966796875
DTLZ1,r2,4,0.9,0.9990234375,0.001953125
DTLZ1,r2,4,0.999,0.9931640625,0.009765625
DTLZ1,r2,5,0.001,0.9677734375,0.0419921875
DTLZ1,r2,5,0.1,1.0,0.0009765625
DTLZ1,r2,5,0.2,1.0,0.0009765625
DTLZ1,r2,5,0.3,1.0,0.0009765625
DTLZ1,r2,5,0.4,0.9990234375,0.001953125
DTLZ1,r2,5,0.5,0.9814453125,0.0244140625
DTLZ1,r2,5,0.6000000000000001,1.0,0.0009765625
DTLZ1,r2,5,0.7000000000000001,0.8388671875,0.1875
DTLZ1,r2,5,0.8,0.947265625,0.0654296875
DTLZ1,r2,5,0.9,0.9931640625,0.009765625
DTLZ1,r2,5,0.999,1.0,0.0009765625
DTLZ1,r2,6,0.001,0.8388671875,0.1875
DTLZ1,r2,6,0.1,0.986328125,0.0185546875
DTLZ1,r2,6,0.2,0.990234375,0.013671875
DTLZ1,r2,6,0.3,0.9931640625,0.009765625
DTLZ1,r2,6,0.4,0.9033203125,0.1162109375
DTLZ1,r2,6,0.5,0.9814453125,0.0244140625
DTLZ1,r2,6,0.6000000000000001,0.919921875,0.0966796875
DTLZ1,r2,6,0.7000000000000001,0.75390625,0.2783203125
DTLZ1,r2,6,0.8,0.1611328125,0.8623046875
DTLZ1,r2,6,0.9,0.5771484375,0.4609375
